ID	QUESTION	ANSWER	CHOICES	gpt-4o	gpt-4o_maxd	gpt-4o_paths	mistral-large-latest	mistral-large-latest_maxd	mistral-large-latest_paths	claude-3-5-sonnet-20240620	claude-3-5-sonnet-20240620_maxd	claude-3-5-sonnet-20240620_paths
65	...... तत् नेत्रयोः परं हितम्। कस्य विषये उक्तम् अस्ति?	रसाञ्जनस्य	मुद्गस्य / रसाञ्जनस्य / गृञ्जनस्य / आमलकस्य	रसाञ्जनस्य	1		मुद्गस्य	1	(:Shimbii_dhanya {'lemma': मुद्ग})<-[:IS_BENEFITTED_BY]-({'lemma': नेत्र}); (:Shimbii_dhanya {'lemma': मुद्ग})<-[:IS_BENEFITTED_BY]-({'lemma': नेत्र}); (:Substance {'lemma': रसाञ्जन})<-[:IS_BENEFITTED_BY]-({'lemma': नेत्र})	रसाञ्जनस्य	1	(:Part_of_body {'lemma': नेत्र})-[:IS_BENEFITTED_BY]->({'lemma': रसाञ्जन}); (:Part_of_body {'lemma': नेत्र})-[:IS_BENEFITTED_BY]->({'lemma': रसाञ्जन}); (:Substance {'lemma': रसाञ्जन})<-[:IS_BENEFITTED_BY]-({'lemma': नेत्र}); (:Shimbii_dhanya {'lemma': मुद्ग})<-[:IS_BENEFITTED_BY]-({'lemma': नेत्र}); (:Shimbii_dhanya {'lemma': मुद्ग})<-[:IS_BENEFITTED_BY]-({'lemma': नेत्र}); (:Part_of_body {'lemma': नेत्र})-[:IS_BENEFITTED_BY]->({'lemma': मुद्ग}); (:Part_of_body {'lemma': नेत्र})-[:IS_BENEFITTED_BY]->({'lemma': मुद्ग})
66	तार्क्ष्यशैलं, रसगर्भः, तार्क्ष्यजं च कस्य पर्यायाः सन्ति?	रसाञ्जनस्य	रसाञ्जनस्य / हरिद्रायाः / शिलाजीतः / मुक्ताशुक्त्याः	रसाञ्जनस्य	1	(:Substance {'lemma': तार्क्ष्यशैल})-[:IS_SYNONYM_OF]->({'lemma': रसाञ्जन}); (:Substance {'lemma': तार्क्ष्यज})-[:IS_SYNONYM_OF]->({'lemma': रसाञ्जन}); (:Substance {'lemma': रसगर्भ})-[:IS_SYNONYM_OF]->({'lemma': रसाञ्जन})	रसाञ्जनस्य	1	(:Substance {'lemma': तार्क्ष्यशैल})-[:IS_SYNONYM_OF]->({'lemma': रसाञ्जन}); (:Substance {'lemma': रसगर्भ})-[:IS_SYNONYM_OF]->({'lemma': रसाञ्जन}); (:Substance {'lemma': तार्क्ष्यज})-[:IS_SYNONYM_OF]->({'lemma': रसाञ्जन})	रसाञ्जनस्य	1	(:Substance {'lemma': तार्क्ष्यशैल})-[:IS_SYNONYM_OF]->({'lemma': रसाञ्जन}); (:Substance {'lemma': रसगर्भ})-[:IS_SYNONYM_OF]->({'lemma': रसाञ्जन})
67	बाकुची अधोलिखितेषु कस्य पर्यायः अस्ति?	सर्वेषाम्	सोमराज्याः / कालमेष्याः / शशिलेखायाः / सर्वेषाम्	कालमेष्याः	1		सर्वेषाम्	1		सर्वेषाम्	1	(:Substance {'lemma': कालमेषी})-[:IS_SYNONYM_OF]->({'lemma': बाकुची}); (:Substance {'lemma': बाकुची})<-[:IS_SYNONYM_OF]-({'lemma': कालमेषी}); (:Substance {'lemma': बाकुची})<-[:IS_SYNONYM_OF]-({'lemma': शशिलेखा})
68	बाकुची अधोलिखितेषु कस्य पर्यायः नास्ति?	भद्रवत्याः	पूतिफल्याः / कालमेष्याः / भद्रवत्याः / अवल्गुजस्य	कालमेष्याः	1		अवल्गुजस्य	1		अवल्गुजस्य	1	(:Substance {'lemma': कालमेषी})-[:IS_SYNONYM_OF]->({'lemma': बाकुची}); (:Substance {'lemma': बाकुची})<-[:IS_SYNONYM_OF]-({'lemma': पूतिफली}); (:Substance {'lemma': बाकुची})<-[:IS_SYNONYM_OF]-({'lemma': कालमेषी})
69	मेषलोचनः अधोलिखितेषु कस्य पर्यायः अस्ति?	चक्रमर्दस्य	कुष्ठस्य/ चक्रमर्दस्य / कासमर्दस्य / मेषश्रृङ्ग्याः	कासमर्दस्य	1		चक्रमर्दस्य	1	(:Substance {'lemma': चक्रमर्द})<-[:IS_SYNONYM_OF]-({'lemma': मेषलोचन}); (:Substance {'lemma': मेषलोचन})-[:IS_SYNONYM_OF]->({'lemma': चक्रमर्द})	चक्रमर्दस्य	1	(:Substance {'lemma': मेषलोचन})-[:IS_SYNONYM_OF]->({'lemma': चक्रमर्द})
70	चक्रमर्दः अधोलिखितेषु कस्य पर्यायः अस्ति?	सर्वेषाम्	प्रपुन्नाटस्य / द्रद्रुघ्नस्य / एडगजस्य / सर्वेषाम्	सर्वेषाम्	1	(:Substance {'lemma': प्रपुन्नाट})-[:IS_SYNONYM_OF]->({'lemma': चक्रमर्द}); (:Substance {'lemma': चक्रमर्द})<-[:IS_SYNONYM_OF]-({'lemma': प्रपुन्नाट}); (:Substance {'lemma': चक्रमर्द})<-[:IS_SYNONYM_OF]-({'lemma': एडगज})	प्रपुन्नाटस्य	1	(:Substance {'lemma': प्रपुन्नाट})-[:IS_SYNONYM_OF]->({'lemma': चक्रमर्द}); (:Substance {'lemma': चक्रमर्द})<-[:IS_SYNONYM_OF]-({'lemma': प्रपुन्नाट})	प्रपुन्नाटस्य एडगजस्य च	1	(:Substance {'lemma': प्रपुन्नाट})-[:IS_SYNONYM_OF]->({'lemma': चक्रमर्द}); (:Substance {'lemma': चक्रमर्द})<-[:IS_SYNONYM_OF]-({'lemma': प्रपुन्नाट}); (:Substance {'lemma': चक्रमर्द})<-[:IS_SYNONYM_OF]-({'lemma': एडगज})
71	अतिविषा अधोलिखितेषु कस्य पर्यायः न अस्ति?	सोमराज्याः	विश्वायाः / शुक्लकन्दायाः / घुणवल्लभायाः / सोमराज्याः	सोमराज्याः	1		सोमराज्याः	1	(:Substance {'lemma': विश्व})-[:IS_SYNONYM_OF]->({'lemma': शुण्ठी}); (:Substance {'lemma': शुक्लकन्दा})-[:IS_SYNONYM_OF]->({'lemma': विषा})	"सोमराज्याः

अतिविषा, विश्वा, शुक्लकन्दा च अतिविषायाः पर्यायाः सन्ति, परन्तु सोमराज्या अतिविषायाः पर्यायः न अस्ति अतः सोमराज्या एव अत्र उचितम् उत्तरम्"	1	(:Substance {'lemma': अतिविषा})-[:IS_SYNONYM_OF]->({'lemma': विषा}); (:Substance {'lemma': विश्वा})-[:IS_SYNONYM_OF]->({'lemma': विषा}); (:Substance {'lemma': विश्वा})-[:IS_SYNONYM_OF]->({'lemma': विषा}); (:Substance {'lemma': शुक्लकन्दा})-[:IS_SYNONYM_OF]->({'lemma': विषा}); (:Substance {'lemma': विश्वा})-[:IS_SYNONYM_OF]->({'lemma': शुण्ठी}); (:Substance {'lemma': विश्वा})-[:IS_SYNONYM_OF]->({'lemma': शुण्ठी})
72	अतिविषा अधोलिखितेषु कस्य पर्यायः अस्ति?	सर्वेषाम्	श्रृंग्याः / अरुणयाः / भङ्गुरायाः / सर्वेषाम्	अरुणयाः	1		सर्वेषाम्	1	(:Substance {'lemma': अतिविषा})-[:IS_SYNONYM_OF]->({'lemma': विषा}); (:Substance {'lemma': शृङ्गी})-[:IS_SYNONYM_OF]->({'lemma': विषा}); (:Substance {'lemma': शृङ्गी})-[:IS_SYNONYM_OF]->({'lemma': विषा}); (:Substance {'lemma': शृङ्गी})<-[:IS_SYNONYM_OF]-({'lemma': अजशृङ्गी}); (:Substance {'lemma': शृङ्गी})<-[:IS_SYNONYM_OF]-({'lemma': अजशृङ्गी}); (:Substance {'lemma': शृङ्गी})<-[:IS_SYNONYM_OF]-({'lemma': चक्रा}); (:Substance {'lemma': शृङ्गी})<-[:IS_SYNONYM_OF]-({'lemma': चक्रा})	सर्वेषाम्	1	(:Substance {'lemma': अतिविषा})-[:IS_SYNONYM_OF]->({'lemma': विषा}); (:Substance {'lemma': शृङ्गी})-[:IS_SYNONYM_OF]->({'lemma': विषा}); (:Substance {'lemma': शृङ्गी})-[:IS_SYNONYM_OF]->({'lemma': विषा}); (:Substance {'lemma': अरुणा})-[:IS_SYNONYM_OF]->({'lemma': विषा}); (:Substance {'lemma': अरुणा})-[:IS_SYNONYM_OF]->({'lemma': विषा})
73	भावप्रकाशेन लोध्रस्य कति प्रकाराः उक्ताः?	२		द्वौ	1		भावप्रकाशेन लोध्रस्य द्वौ प्रकारौ उक्तौ	1	(:Substance {'lemma': लोध्र})<-[:IS_LAGHU_GURU_GUNA_OF]-({'lemma': लघु}); (:Substance {'lemma': लोध्र})<-[:IS_VIIRYA_PROPERTY_OF]-({'lemma': शीत}); (:Substance {'lemma': लोध्र})<-[:IS_BENEFITTED_BY]-({'lemma': चक्षुस्})	भावप्रकाशेन लोध्रस्य द्वौ प्रकारौ उक्तौ	1	(:Substance {'lemma': लोध्र})<-[:IS_VARIANT_OF]-({'lemma': पट्टिकालोध्र}); (:Substance {'lemma': लोध्र})<-[:IS_SYNONYM_OF]-({'lemma': तिल्व}); (:Substance {'lemma': लोध्र})<-[:IS_SYNONYM_OF]-({'lemma': तिरीट})
74	स्थूलवल्कलः अधोलिखितेषु कस्य पर्यायः अस्ति?	लोध्रस्य	अर्जुनस्य / खदिरस्य / लोध्रस्य / पीपलस्य	अर्जुनस्य	1		लोध्रस्य	1	(:Substance {'lemma': स्थूलवल्कल})-[:IS_SYNONYM_OF]->({'lemma': पट्टिकालोध्र})	लोध्रस्य	1	(:Substance {'lemma': स्थूलवल्कल})-[:IS_SYNONYM_OF]->({'lemma': पट्टिकालोध्र})
75	जीर्णपत्रं, बृहत्पत्रं, क्रमुकं, लाक्षाप्रसादनं च कस्य पर्यायाः सन्ति?	पट्टिका-लोध्रस्य		ताम्रपत्रस्य	1		पट्टिकालोध्रस्य	1	(:Substance {'lemma': क्रमुक})-[:IS_SYNONYM_OF]->({'lemma': पट्टिकालोध्र})	उत्तरम्: तमालपत्रस्य	1	
76	लशुनं अधस्तनेषु कस्य पर्यायः अस्ति?	सर्वेषाम्	उग्रगन्धस्य / महौषधस्य / म्लेच्छकन्दस्य / सर्वेषाम्	म्लेच्छकन्दस्य	1		सर्वेषाम्	1	(:Substance {'lemma': लशुन})-[:IS_SYNONYM_OF]->({'lemma': रसोन})	"सर्वेषाम्

लशुनस्य पर्यायाः उग्रगन्धः, महौषधः, म्लेच्छकन्दः च सर्वे भवन्ति अतः सर्वेषाम् इति उत्तरम्"	1	(:Substance {'lemma': लशुन})-[:IS_SYNONYM_OF]->({'lemma': रसोन}); (:Substance {'lemma': उग्रगन्ध})-[:IS_SYNONYM_OF]->({'lemma': रसोन}); (:Substance {'lemma': महौषध})-[:IS_SYNONYM_OF]->({'lemma': रसोन}); (:Substance {'lemma': महौषध})-[:IS_SYNONYM_OF]->({'lemma': रसोन})
77	लशुने कः रसः न अस्ति?	अम्लः		कटुः	1		लशुने पारदरसः न अस्ति	1	(:Substance {'lemma': लशुन})-[:IS_SYNONYM_OF]->({'lemma': रसोन}); (:Rasa {'lemma': रस})-[:IS_SYNONYM_OF]->({'lemma': पारद}); (:Rasa {'lemma': रस})-[:IS_SYNONYM_OF]->({'lemma': पारद}); (:Rasa {'lemma': रस})<-[:IS_VARIANT_OF]-({'lemma': मूर्च्छित-रस}); (:Rasa {'lemma': रस})<-[:IS_VARIANT_OF]-({'lemma': मूर्च्छित-रस})	मधुरः	1	(:Substance {'lemma': लशुन})-[:IS_SYNONYM_OF]->({'lemma': रसोन})
81	पलाण्डुः निम्नेषु कस्य पर्यायः अस्ति?	यवनेष्टस्य	यवनेष्टस्य / अरिष्टस्य / उग्रगन्धस्य / रसोनकस्य	यवनेष्टस्य	1	(:Substance {'lemma': पलाण्डु})<-[:IS_SYNONYM_OF]-({'lemma': यवनेष्ट})	यवनेष्टस्य	1	(:Substance {'lemma': यवनेष्ट})-[:IS_SYNONYM_OF]->({'lemma': पलाण्डु}); (:Substance {'lemma': यवनेष्ट})-[:IS_SYNONYM_OF]->({'lemma': पलाण्डु}); (:Substance {'lemma': पलाण्डु})<-[:IS_SYNONYM_OF]-({'lemma': यवनेष्ट}); (:Substance {'lemma': यवनेष्ट})-[:IS_SYNONYM_OF]->({'lemma': रसोन}); (:Substance {'lemma': यवनेष्ट})-[:IS_SYNONYM_OF]->({'lemma': रसोन}); (:Substance {'lemma': अरिष्ट})-[:IS_SYNONYM_OF]->({'lemma': रसोन})	यवनेष्टस्य	1	(:Substance {'lemma': यवनेष्ट})-[:IS_SYNONYM_OF]->({'lemma': पलाण्डु}); (:Substance {'lemma': यवनेष्ट})-[:IS_SYNONYM_OF]->({'lemma': पलाण्डु}); (:Substance {'lemma': पलाण्डु})<-[:IS_SYNONYM_OF]-({'lemma': यवनेष्ट})
82	पलाण्डुः निम्नेषु कस्य पर्यायः अस्ति?	सर्वेषाम्	मुखदूषकस्य / दुर्गन्धस्य / यवनेष्टस्य / सर्वेषाम्	दुर्गन्धस्य / मुखदूषकस्य	1	(:Substance {'lemma': दुर्गन्ध})-[:IS_SYNONYM_OF]->({'lemma': पलाण्डु}); (:Substance {'lemma': मुखदूषक})-[:IS_SYNONYM_OF]->({'lemma': पलाण्डु}); (:Substance {'lemma': पलाण्डु})<-[:IS_SYNONYM_OF]-({'lemma': दुर्गन्ध}); (:Substance {'lemma': पलाण्डु})<-[:IS_SYNONYM_OF]-({'lemma': मुखदूषक})	मुखदूषकस्य, दुर्गन्धस्य	1	(:Substance {'lemma': मुखदूषक})-[:IS_SYNONYM_OF]->({'lemma': पलाण्डु}); (:Substance {'lemma': दुर्गन्ध})-[:IS_SYNONYM_OF]->({'lemma': पलाण्डु}); (:Substance {'lemma': पलाण्डु})<-[:IS_SYNONYM_OF]-({'lemma': मुखदूषक}); (:Substance {'lemma': पलाण्डु})<-[:IS_SYNONYM_OF]-({'lemma': दुर्गन्ध})	सर्वेषाम्	1	(:Substance {'lemma': यवनेष्ट})-[:IS_SYNONYM_OF]->({'lemma': पलाण्डु}); (:Substance {'lemma': यवनेष्ट})-[:IS_SYNONYM_OF]->({'lemma': पलाण्डु}); (:Substance {'lemma': मुखदूषक})-[:IS_SYNONYM_OF]->({'lemma': पलाण्डु}); (:Substance {'lemma': पलाण्डु})<-[:IS_SYNONYM_OF]-({'lemma': मुखदूषक}); (:Substance {'lemma': पलाण्डु})<-[:IS_SYNONYM_OF]-({'lemma': दुर्गन्ध})
83	अरूष्करः निम्नेषु कस्य पर्यायः अस्ति?	भल्लातकस्य	चित्रकस्य / भल्लातकस्य / दन्त्याः / मञ्जिष्ठायाः	चित्रकस्य	1		भल्लातकस्य	1	(:Substance {'lemma': भल्लातक})<-[:IS_SYNONYM_OF]-({'lemma': अरुष्कर}); (:Substance {'lemma': चित्रक})<-[:IS_SYNONYM_OF]-({'lemma': अनल}); (:Substance {'lemma': चित्रक})<-[:IS_SYNONYM_OF]-({'lemma': पाठी})	भल्लातकस्य	1	(:Substance {'lemma': भल्लातक})<-[:IS_SYNONYM_OF]-({'lemma': अरुष्कर})
84	अग्निमुखी, क्षीरवृक्षः, शोफकृत् कस्य पर्यायाः सन्ति?	भल्लातकस्य		उत्तरम्: अरुन्दती	1		भल्लातकस्य	1	(:Substance {'lemma': शोफकृत्})-[:IS_SYNONYM_OF]->({'lemma': भल्लातक})	भल्लातकस्य	1	(:Substance {'lemma': शोफकृत्})-[:IS_SYNONYM_OF]->({'lemma': भल्लातक})
85	भल्लातकस्य कः भागः केश्यः (केशेभ्यः हितकरः) अस्ति?	वृन्तम्		भल्लातक-फलः	1	(:Substance {'lemma': भल्लातक})<-[:IS_PART_OF]-({'lemma': भल्लातक-फल}); (:Substance {'lemma': भल्लातक})<-[:IS_RASA_PROPERTY_OF]-({'lemma': मधुर}); (:Substance {'lemma': भल्लातक})<-[:IS_RASA_PROPERTY_OF]-({'lemma': कषाय})	भल्लातकस्य तैलं केश्यः अस्ति	1	(:Substance {'lemma': भल्लातक})<-[:IS_CURED_BY]-({'lemma': ग्रहणी}); (:Substance {'lemma': भल्लातक})<-[:IS_SYNONYM_OF]-({'lemma': अरुष्कर}); (:Substance {'lemma': भल्लातक})<-[:IS_CURED_BY]-({'lemma': अर्श})	"उत्तरम्: फलम्

भल्लातकस्य फलं केश्यं अर्थात् केशेभ्यः हितकरं मन्यते आयुर्वेदे भल्लातकफलस्य केशवृद्धिकरत्वं प्रसिद्धम्"	1	
86	मोहमदवाग्वह्निवर्धिनी निम्नेषु कस्य गुणः अस्ति?	भङ्गायाः	मद्यस्य / भङ्गायाः / आफूकस्य / धत्तूरस्य	धत्तूरस्य	1		मद्यस्य	1	(:Sandhaana {'lemma': मद्य})<-[:IS_SYNONYM_OF]-({'lemma': इरा}); (:Substance {'lemma': भङ्गा})<-[:IS_SYNONYM_OF]-({'lemma': विजया}); (:Sandhaana {'lemma': मद्य})<-[:IS_SYNONYM_OF]-({'lemma': मैरेय})	"उत्तरम्: मद्यस्य

मद्यं मोहं, मदं च वर्धयति, अतः मोहमदवाग्वह्निवर्धिनी गुणः मद्यस्य एव अस्ति"	1	
87	आफूकस्य वर्णनं कस्य ग्रन्थे लभ्यते?	वाग्भट्टस्य ; भावप्रकाशस्य	वाग्भट्टस्य / शारंगधरस्य / भावप्रकाशस्य	भावप्रकाशस्य	1		वाग्भट्टस्य	1	(:Substance {'lemma': आफूक})<-[:HAS_SIMILAR_PROPERTY_AS]-({'lemma': खाखस-फल-वल्कल}); (:Substance {'lemma': आफूक})<-[:IS_KARMA_OF]-({'lemma': ग्राहिन्}); (:Substance {'lemma': आफूक})<-[:IS_KARMA_OF]-({'lemma': शोषण})	भावप्रकाशस्य	1	(:Substance {'lemma': आफूक})<-[:HAS_SIMILAR_PROPERTY_AS]-({'lemma': खाखस-फल-वल्कल}); (:Substance {'lemma': आफूक})<-[:IS_KARMA_OF]-({'lemma': ग्राहिन्}); (:Substance {'lemma': आफूक})<-[:IS_KARMA_OF]-({'lemma': शोषण})
88	खाखसस्य कस्मात् भागात् आफूकः निष्पद्यते? 	फलस्य क्षीरात्		खाखस-फल-वल्कलात्	1	(:Substance {'lemma': खाखस})<-[:IS_PART_OF]-({'lemma': खाखस-फल-वल्कल}); (:Substance {'lemma': आफूक})<-[:HAS_SIMILAR_PROPERTY_AS]-({'lemma': खाखस-फल-वल्कल}); (:Substance {'lemma': खाखस})<-[:IS_PART_OF]-({'lemma': खाखस-फल}); (:Substance {'lemma': खाखस})<-[:IS_SYNONYM_OF]-({'lemma': तिलभेद})	खाखसस्य फलात् आफूकः निष्पद्यते	1	(:Substance {'lemma': खाखस})<-[:IS_PART_OF]-({'lemma': खाखस-फल-वल्कल}); (:Substance {'lemma': आफूक})<-[:HAS_SIMILAR_PROPERTY_AS]-({'lemma': खाखस-फल-वल्कल}); (:Substance {'lemma': खाखस})<-[:IS_PART_OF]-({'lemma': खाखस-फल}); (:Substance {'lemma': खाखस})<-[:IS_SYNONYM_OF]-({'lemma': तिलभेद})	फलवल्कलात्	1	(:Substance {'lemma': खाखस})<-[:IS_PART_OF]-({'lemma': खाखस-फल-वल्कल}); (:Substance {'lemma': आफूक})<-[:HAS_SIMILAR_PROPERTY_AS]-({'lemma': खाखस-फल-वल्कल})
90	शीतशिवः एतेषु कस्य पर्यायः अस्ति?	सैन्धवस्य	धत्तूरस्य / सैन्धवस्य / भङ्गायाः/ अहिफेनस्य	सैन्धवस्य	1	(:Substance {'lemma': शीतशिव})-[:IS_SYNONYM_OF]->({'lemma': सैन्धव}); (:Substance {'lemma': सैन्धव})<-[:IS_SYNONYM_OF]-({'lemma': शीतशिव})	सैन्धवस्य	1	(:Substance {'lemma': सैन्धव})<-[:IS_SYNONYM_OF]-({'lemma': शीतशिव}); (:Substance {'lemma': शीतशिव})-[:IS_SYNONYM_OF]->({'lemma': सैन्धव})	सैन्धवस्य	1	(:Substance {'lemma': सैन्धव})<-[:IS_SYNONYM_OF]-({'lemma': शीतशिव}); (:Substance {'lemma': शीतशिव})-[:IS_SYNONYM_OF]->({'lemma': सैन्धव})
91	भावप्रकाशः सैन्धवस्य वर्णनं कस्मिन् वर्गे कृतवान्?	हरीतक्यादौ		लवणवर्गे	1		भावप्रकाशः सैन्धवस्य वर्णनं लवणवर्गे कृतवान्	1	(:Substance {'lemma': सैन्धव})<-[:IS_SYNONYM_OF]-({'lemma': शीतशिव}); (:Substance {'lemma': सैन्धव})<-[:IS_SYNONYM_OF]-({'lemma': मणिमन्थ}); (:Substance {'lemma': सैन्धव})<-[:IS_SYNONYM_OF]-({'lemma': सिन्धुज})	उत्तरम्: हारीतक्यादिवर्गे	1	(:Substance {'lemma': सैन्धव})<-[:IS_SYNONYM_OF]-({'lemma': शीतशिव}); (:Substance {'lemma': सैन्धव})<-[:IS_SYNONYM_OF]-({'lemma': मणिमन्थ}); (:Substance {'lemma': सैन्धव})<-[:IS_SYNONYM_OF]-({'lemma': सिन्धुज})
94	उर्ध्वाधः कफवातानुलोमनं कस्य लवणस्य गुणः अस्ति?	बिडस्य	सैन्धवस्य / सामुद्रस्य / बिडस्य / सौवर्चलस्य	सैन्धवस्य	1	(:Rasa_property {'lemma': लवण})-[:IS_RASA_PROPERTY_OF]->({'lemma': सैन्धव})	सैन्धवस्य	1	(:Substance {'lemma': सैन्धव})<-[:IS_RASA_PROPERTY_OF]-({'lemma': स्वादु}); (:Substance {'lemma': सैन्धव})<-[:IS_RASA_PROPERTY_OF]-({'lemma': लवण}); (:Substance {'lemma': सामुद्र})<-[:IS_RASA_PROPERTY_OF]-({'lemma': मधुर})	सैन्धवस्य	1	(:Substance {'lemma': सैन्धव})<-[:IS_KARMA_OF]-({'lemma': दीपन}); (:Substance {'lemma': सैन्धव})<-[:IS_KARMA_OF]-({'lemma': पाचन}); (:Substance {'lemma': सैन्धव})<-[:IS_BENEFITTED_BY]-({'lemma': नेत्र})
95	कः पाशुलवणम् उच्यते?	औद्भिद्लवणम्	सामुद्रलवणम् / औद्भिद्लवणम् / बिडः / सौवर्चलः	सौवर्चलः	1		सामुद्रलवणम्	1	(:Substance {'lemma': सामुद्रलवण})-[:IS_SYNONYM_OF]->({'lemma': सामुद्र})	सौवर्चलः	1	(:Substance {'lemma': सौवर्चल})<-[:IS_SYNONYM_OF]-({'lemma': रुचक}); (:Substance {'lemma': सौवर्चल})<-[:IS_SYNONYM_OF]-({'lemma': मन्थपाक})
96	भावप्रकाशे कति प्रकाराणां लवणानां वर्णनं कृतम् अस्ति?	६		षट्	1		भावप्रकाशे पञ्च प्रकाराणां लवणानां वर्णनं कृतम् अस्ति	1	(:Rasa_property {'lemma': लवण})-[:IS_RASA_PROPERTY_OF]->({'lemma': नरमूत्र}); (:Rasa_property {'lemma': लवण})-[:IS_RASA_PROPERTY_OF]->({'lemma': औष्ट्र-दुग्ध}); (:Rasa_property {'lemma': लवण})-[:IS_RASA_PROPERTY_OF]->({'lemma': आविक-दुग्ध})	"उत्तरम्: पञ्चानाम्

भावप्रकाशे पञ्च प्रकाराणां लवणानां वर्णनं कृतम् अस्ति यद्यपि निष्कर्षित-विषयेषु विशिष्टा सङ्ख्या नोक्ता, आयुर्वेदीय ग्रन्थेषु सामान्यतया पञ्च प्रकाराणि लवणानि वर्णितानि भवन्ति तानि च - सैन्धवम्, सामुद्रम्, विडम्, सौवर्चलम्, रोमकम् च"	1	
97	धातुद्रावकः कः क्षारः अस्ति?	टङ्कणः		टङ्कणः	1	(:Substance {'lemma': धातुद्रावक})-[:IS_SYNONYM_OF]->({'lemma': टङ्कण}); (:Substance {'lemma': क्षार})-[:IS_SYNONYM_OF]->({'lemma': टङ्कण}); (:Substance {'lemma': क्षार})-[:IS_SYNONYM_OF]->({'lemma': स्वर्जिका}); (:Substance {'lemma': क्षार})-[:IS_SYNONYM_OF]->({'lemma': यवक्षार})	टङ्कणः	1	(:Substance {'lemma': धातुद्रावक})-[:IS_SYNONYM_OF]->({'lemma': टङ्कण}); (:Substance {'lemma': क्षार})-[:IS_SYNONYM_OF]->({'lemma': टङ्कण}); (:Substance {'lemma': क्षार})-[:IS_SYNONYM_OF]->({'lemma': स्वर्जिका}); (:Substance {'lemma': क्षार})-[:IS_SYNONYM_OF]->({'lemma': यवक्षार})	उत्तरम्: टङ्कणे	1	(:Substance {'lemma': धातुद्रावक})-[:IS_SYNONYM_OF]->({'lemma': टङ्कण})
98	भावप्रकाशे कति क्षारसमूहानां वर्णनं कृतम्?	सर्वेषाम्	क्षारद्वयस्य / क्षारत्रयस्य / क्षाराष्टकस्य / सर्वेषाम्	क्षाराष्टकस्य	1		क्षारद्वयस्य	1	(:Mishraka_gana {'lemma': क्षारद्वय})-[:IS_BEST_AMONG]->({'lemma': गुल्महर-द्रव्य}); (:Mishraka_gana {'lemma': क्षारद्वय})-[:IS_OUTPUT_OF_MISHRANA_SANSKAARA_ON]->({'lemma': यावशूक}); (:Mishraka_gana {'lemma': क्षारद्वय})-[:IS_OUTPUT_OF_MISHRANA_SANSKAARA_ON]->({'lemma': स्वर्जिका})	क्षारद्वयस्य	1	(:Mishraka_gana {'lemma': क्षारद्वय})-[:IS_BEST_AMONG]->({'lemma': गुल्महर-द्रव्य}); (:Mishraka_gana {'lemma': क्षारद्वय})-[:IS_OUTPUT_OF_MISHRANA_SANSKAARA_ON]->({'lemma': यावशूक}); (:Mishraka_gana {'lemma': क्षारद्वय})-[:IS_OUTPUT_OF_MISHRANA_SANSKAARA_ON]->({'lemma': स्वर्जिका})
101	चन्द्रसंज्ञ एतेषु कस्य पर्यायः अस्ति?	कर्पूरस्य	कर्पूरस्य / मिश्र्याः / लवणस्य / पूतिकायाः	कर्पूरस्य	1		कर्पूरस्य	1	(:Substance {'lemma': कर्पूर})<-[:IS_RASA_PROPERTY_OF]-({'lemma': मधुर}); (:Substance {'lemma': कर्पूर})<-[:IS_RASA_PROPERTY_OF]-({'lemma': तिक्त}); (:Substance {'lemma': कर्पूर})-[:IS_VAASANA_OF]->({'lemma': कर्पूरवासित-पाण्डुखण्डपाक})	कर्पूरस्य	1	(:Substance {'lemma': कर्पूर})<-[:IS_SYNONYM_OF]-({'lemma': चन्द्रसंज्ञ}); (:Substance {'lemma': चन्द्रसंज्ञ})-[:IS_SYNONYM_OF]->({'lemma': कर्पूर})
102	कस्तूरी एतेषु कस्य पर्यायः अस्ति?	सर्वेषाम्	वेदमुख्यायाः / मृगमदस्य / सहस्रभिदः / सर्वेषाम्	मृगमदस्य	1		मृगमदस्य सहस्रभिदः च	1	(:Substance {'lemma': मृगमद})-[:IS_SYNONYM_OF]->({'lemma': कस्तूरिका}); (:Substance {'lemma': सहस्रभिद्})-[:IS_SYNONYM_OF]->({'lemma': कस्तूरिका})	"उत्तरम्: मृगमदस्य

कस्तूरी मृगमदस्य पर्यायः अस्ति कस्तूरी मृगनाभेः उत्पद्यते, अतः मृगमदः इति अपरं नाम प्राप्नोति"	1	
103	कस्तूर्याः कति प्रकाराः उक्ताः?	३		त्रयः	1	(:Substance {'lemma': कस्तूरी})-[:IS_SYNONYM_OF]->({'lemma': कस्तूरिका})	कस्तूर्याः द्वौ प्रकारौ उक्तौ	1	(:Substance {'lemma': कस्तूरी})-[:IS_SYNONYM_OF]->({'lemma': कस्तूरिका})	कस्तूर्याः चत्वारः प्रकाराः उक्ताः	1	(:Substance {'lemma': कस्तूरी})-[:IS_SYNONYM_OF]->({'lemma': कस्तूरिका})
