id	hindi	sanskrit	sanskrit_corrected	Options	Answer	
74	स्थूलवल्कल निम्न में से किसका पर्याय है? (क.) अर्जुन (ख.) खदिर (ग.) लोध्र (घ.) पीपल	स्थूलवल्कलः अधोलिखितेषु कस्य पर्यायः अस्ति? (क.) अर्जुनः (ख.) खदिरः (ग.) लोध्रः (घ.) पीपलः	स्थूलवल्कलः अधोलिखितेषु कस्य पर्यायः अस्ति?	अर्जुनस्य / खदिरस्य / लोध्रस्य / पीपलस्य	लोध्रस्य	
75	जीर्णपत्र बृहतपत्र, क्रमुक, लाक्षाप्रसादन किसके पर्याय हैं? (क.) शावर लोध्र (ख.) पट्टिका लोध्र (ग.) कुटज (घ.) एला	जीर्णपत्रं बृहत्पत्रं, क्रमुकं, लाक्षाप्रसादनं कस्य पर्यायः? (क.) शावर लोध्रः (ख.) पट्टिका लोध्रः (ग.) कुटजः (घ.) एला	जीर्णपत्रं बृहत्पत्रं, क्रमुकं, लाक्षाप्रसादनं च कस्य पर्यायाः सन्ति?	शावर-लोध्रस्य / पट्टिका-लोध्रस्य / कुटजस्य / एलायाः	लट्टिका-लोध्रस्य	
76	लहसुन निम्न में से किसका पर्याय है? (क.) उग्रगन्ध (ख.) महौषध (ग.) म्लेच्छकन्द (घ.) सभी	लशुनः निम्नेषु कतस्य पर्यायः अस्ति? (क.) उग्रगन्धः (ख.) महौषधः (ग.) म्लेच्छकन्दः (घ.) सर्वे	लशुनं अधस्तनेषु कस्य पर्यायः अस्ति?	उग्रगन्धस्य / महौषधस्य / म्लेच्छकन्दस्य / सर्वेषाम्	सर्वेषाम्	
77	लहसुन में कौन-सा रस नहीं होता? (क.) मधुर (ख.) अम्ल (ग.) लवण (घ.) कषाय	लशुने कः रसः न अस्ति? (क.) मधुरः (ख.) अम्लः (ग.) लवणः (घ.) कषायः	लशुने कः रसः न अस्ति?	मधुरः / अम्लः / लवणः / कषायः	अम्लः	
81	पलाण्डु निम्न में से किसका पर्याय है? (क.) यवनेष्ट (ख.) अरिष्ट (ग.) उग्रगंध (घ.) रसोनक	पलाण्डुः निम्नेषु कस्य पर्यायः अस्ति? (क.) यवनेष्टः (ख.) अरिष्टः (ग.) उग्रगन्धः (घ.) रसोनकः	पलाण्डुः निम्नेषु कस्य पर्यायः अस्ति?	यवनेष्टस्य / अरिष्टस्य / उग्रगन्धस्य / रसोनकस्य	यवनेष्टस्य	
82	पलाण्डु निम्न में से किसका पर्याय है? (क.) मुखदूषक (ख.) दुर्गन्ध (ग.) यवनेष्ट (घ.) सभी	पलाण्डुः निम्नेषु कस्य पर्यायः अस्ति? (क.) मुखदूषकः (ख.) दुर्गन्धः (ग.) यवनेष्टः (घ.) सर्वे	पलाण्डुः निम्नेषु कस्य पर्यायः अस्ति?	मुखदूषकस्य / दुर्गन्धस्य / यवनेष्टस्य / सर्वेषाम्	सर्वेषाम्	
83	अरूष्कर निम्न में से किसका पर्याय है? (क.) चित्रक (ख.) भिलावा (ग.) दन्ती (घ.) मंजिष्ठा	अरूष्करः निम्नेषु कस्य पर्यायः अस्ति? (क.) चित्रकः (ख.) भिलावः (ग.) दन्ती (घ.) मञ्जिष्ठा	अरूष्करः निम्नेषु कस्य पर्यायः अस्ति?	चित्रकस्य / भिलावस्य / दन्त्याः / मञ्जिष्ठायाः	भिलावस्य	
84	अग्निमुखी क्षीरवृक्ष एवं शोफकृत किसके पर्याय है? (क.) चित्रक (ख.) भल्लातक (ग.) कुटज (घ.) पलाश	अग्निमुखी क्षीरवृक्षः एवं शोफकृतः कस्य पर्यायाः स्तः? (क.) चित्रकः (ख.) भल्लातकः (ग.) कुटजः (घ.) पलाशः	अग्निमुखी, क्षीरवृक्षः, शोफकृतः कस्य पर्यायाः सन्ति?	चित्रकस्य / भल्लातक्य / कुटजस्य / पलाशस्य	भल्लातकस्य	
85	भल्लातक का कौन सा भाग बालों के लिए हितकर (केश्य) होता है? (क.) मूल (ख.) फल (ग.) मज्जा (घ.) वृन्त	भल्लातकस्य कतमः भागः केश्यः अस्ति? (क.) मूलं (ख.) फलं (ग.) मज्जा (घ.) वृन्तम्	भल्लातकस्य कतमः भागः केश्यः(केशेभ्यः हितकरः) अस्ति?	मूलं / फलं / मज्जा / वृन्तम्	वृन्तम्	
86	मोहमदवाग्वहनिवर्धिनि निम्न में से किसका गुण है? (क.) मद्य (ख.) भंगा (ग.) अफीम (घ.) धतूरा	मोहमदवाग्वहनिवर्धिनी निम्नेषु कस्य गुणः अस्ति? (क.) मद्यस्य (ख.) भङ्गायाः (ग.) अफीमस्य (घ.) धत्तूरस्य	मोहमदवाग्वहनिवर्धिनी निम्नेषु कस्य गुणः अस्ति?	मद्यस्य / भङ्गायाः / अफीमस्य / धत्तूरस्य	भङ्गायाः	
87	अफीम का वर्णन किस ग्रन्थ में मिलता है? (क.) वाग्भट्ट (ख.) शार्डगधर (ग.) भावप्रकाश (घ.) क और ख	अफीमस्य वर्णनं कस्य ग्रन्थे लभ्यते? (क.) वाग्भट्टस्य (ख.) शार्दगधारस्य (ग.) भावप्रकाशस्य (घ.) क च ख	अफीमस्य वर्णनं कस्य ग्रन्थे लभ्यते?	वाग्भट्टस्य / शार्दगधारस्य / भावप्रकाशस्य / क च ख	क च ख	
88	पोस्त के किस भाग से अफीम बनता है? (क.) फल के दूध से ख. फल की छाल से (ग.) मूल से (घ.) पत्र से	पोस्तस्य कस्य भागतः अफीम निर्मीयते? (क.) फलस्य क्षीरात् (ख.) फलस्य त्वचः (ग.) मूलात् (घ.) पत्रात्	पोस्तस्य कस्मात् भागात् अफीमः निर्मीयते?	फलस्य क्षीरात् / फलस्य त्वचः / मूलात् / पत्रात्	फलस्य क्षीरात्	
90	शीतशिव निम्न में से किसका पर्याय है? (क.) धतूरा (ख.) सैंधव (ग.) भंगा (घ.) अहिफेन	शीतशिवः एतेषु कस्य पर्यायः अस्ति? (क.) धत्तूरः (ख.) सौवर्चलः (ग.) भङ्गः (घ.) अहिफेनः	शीतशिवः एतेषु कस्य पर्यायः अस्ति?	धत्तूरस्य / सौवर्चलस्य / भङ्गस्य/ अहिफेनस्य	सौवर्चलस्य	
91	भावप्रकाश ने सैंधव का वर्णन किस वर्ग में किया है? (क.) गुडूच्यादि (ख.) कर्पूरादि (ग.) हरीतकयादि (घ.) वटादि	भावप्रकाशः सैंधवस्य वर्णनं कस्मिन् वर्गे कृतवान्? (क.) गुडूच्यादिः (ख.) कर्पूरादिः (ग.) हरीतक्यादिः (घ.) वतादिः	भावप्रकाशः सैन्धवस्य वर्णनं कस्मिन् वर्गे कृतवान्?	गुडूच्यादौ / कर्पूरादौ/ हरीतक्यादौ / वतादौ	हरीतक्यादौ	
94	उर्ध्वाधः कफवातानुलोमनम् किस लवण का गुण है? (क.) सैंधव (ख.) सामुद्र (ग.) विड (घ.) सौवर्चल	उर्ध्वाधः कफवातानुलोमनं कस्य लवणस्य गुणः अस्ति? (क.) सैंधवः (ख.) सामुद्रः (ग.) विडः (घ.) सौवर्चलः	उर्ध्वाधः कफवातानुलोमनं कस्य लवणस्य गुणः अस्ति?	सैन्धवस्य / सामुद्रस्य / विडस्य / सौवर्चलस्य	विडस्य	
95	पाशु लवण किसे कहते है? (क.) सामुन्द्र लवण (ख.) औदमिद् लवण (ग.) विड (घ.) सौवर्चल	पाशु लवणं कः उच्यते? (क.) सामुद्र लवणम् (ख.) औदमिद् लवणम् (ग.) विडः (घ.) सौवर्चलः	कः पाशु लवणं उच्यते?	सामुद्रलवणम् / औदमिद्लवणम् / विडः / सौवर्चलः	औदमिद्लवणम्	
96	भावप्रकाश में कितने प्रकार के लवणों का वर्णन किया है? (क.) 3 (ख.) 4 (ग.) 5 (घ.) 6	भावप्रकाशे कति प्रकाराणां लवणानां वर्णनं कृतं अस्ति? (क.) ३ (ख.) ४ (ग.) ५ (घ.) ६	भावप्रकाशे कति प्रकाराणां लवणानां वर्णनं कृतम् अस्ति?	३ / ४ / ५ / ६	६	
97	धातुद्रावक कौन सा क्षार है? (क.) यव (ख.) सवर्जिका (ग.) टङ्कण (घ.) पलाश	धातुद्रावकः कः क्षारः अस्ति? (क.) यवः (ख.) सवर्जिका (ग.) टङ्कणः (घ.) पलाशः	धातुद्रावकः कः क्षारः अस्ति?	यवः / सवर्जिका / टङ्कणः / पलाशः	टङ्कणः	
98	भावप्रकाश ने कितने क्षार समूहो का वर्णन किया है? (क.) क्षारद्वय (ख.) क्षारत्रय (ग.) क्षाराष्टक (घ.) सभी	भावप्रकाशे कति क्षारसमूहानां वर्णनं कृतम्? (क.) क्षारद्वयम् (ख.) क्षारत्रयम् (ग.) क्षाराष्टकम् (घ.) सर्वे	भावप्रकाशे कति क्षारसमूहानां वर्णनं कृतम्?	क्षारद्वयस्य / क्षारत्रयस्य / क्षाराष्टकस्य / सर्वेषाम्	सर्वेषाम्	
101	चन्द्रसंज्ञ निम्न में से किसका पर्याय है? (क.) कर्पूर (ख.) मिश्री (ग.) लवण (घ.) पुदीना	चन्द्रसंज्ञ एतेषु कस्य पर्यायः अस्ति? (क.) कर्पूरः (ख.) मिश्री (ग.) लवणम् (घ.) पूतिका	चन्द्रसंज्ञ एतेषु कस्य पर्यायः अस्ति?	कर्पूरस्य / मिश्र्याः / लवणस्य / पूतिकायाः	कर्पूरः	
102	कस्तूरी निम्न में से किसका पर्याय है? (क.) वेदमुख्या (ख.) मृगमद (ग.) सहस्रभिद् (घ.) सभी	कस्तूरी एतेषु कस्य पर्यायः अस्ति? (क.) वेदमुख्या (ख.) मृगमदः (ग.) सहस्रभिद् (घ.) सर्वे	कस्तूरी एतेषु कस्य पर्यायः अस्ति?	वेदमुख्या / मृगमदः / सहस्रभिद् / सर्वे	सर्वे	
103	कस्तूरी के कितने प्रकार बताए हैं? (क.) 2 (ख.) 3 (ग.) 4 (घ.) 5	कस्तूरीके किं का प्रकाराः उक्ताः? (क.) २ (ख.) ३ (ग.) ४ (घ.) ५	कस्तूरीके किं का प्रकाराः उक्ताः?	२ / ३ / ४ / ५	३	
105	भद्रश्री निम्न में से किसका पर्याय है? (क.) हरिद्रा (ख.) एला (ग.) चंदन (घ.) कुंकुम	भद्रश्रीणि च को पर्या? (क.) हरिद्रा (ख.) एला (ग.) चन्दन (घ.) कुंकुम	भद्रश्रीणि च को पर्या?	हरिद्रा / एला / चन्दन / कुंकुम	चन्दन	
106	कालीयक कौन सा चंदन है? (क.) श्वेत (ख.) रक्त (ग.) पीत (घ.) कृष्ण	कालीयकं कच चन्दनं अस्ति? (क.) श्वेतम् (ख.) रक्तम् (ग.) पीतम् (घ.) कृष्णम्	कालीयकं कच चन्दनं अस्ति?	श्वेतम् / रक्तम् / पीतम् / कृष्णम्	पीतम्	
107	पट्टरंजक निम्न में से किसका पर्याय है? (क.) मंजिष्ठा (ख.) हरिद्रा (ग.) पतङ्ग (घ.) दारूहरिद्रा	पट्टरञ्जकः यस्य पर्यायः अस्ति? (क.) मञ्जिष्ठा (ख.) हरिद्रा (ग.) पतङ्गः (घ.) दारूहरिद्रा	पट्टरञ्जकः यस्य पर्यायः अस्ति?	मञ्जिष्ठा / हरिद्रा / पतङ्गः / दारूहरिद्रा	पतङ्गः	
108	कौन सा चंदन श्रेष्ठ होता है? (क.) मलयागिरी (ख.) पतङग (ग.) कलम्बक (घ.) पीत	किं चन्दनं श्रेष्ठं भवति? (क.) मलयगिरि (ख.) पतङ्गः (ग.) कलम्बकः (घ.) पीतम्	किं चन्दनं श्रेष्ठं भवति?	मलयगिरि / पतङ्गः / कलम्बकः / पीतम्	मलयगिरि	
109	अगुरू निम्न में से किसका पर्याय है? (क.) प्रवर (ख.) राजार्ह (ग.) कृमिजग्ध (घ.) सभी	अगुरूः कस्य पर्यायः अस्ति? (क.) प्रवरः (ख.) राजार्हः (ग.) कृमिजग्धः (घ.) सर्वे	अगुरूः कस्य पर्यायः अस्ति?	प्रवरः / राजार्हः / कृमिजग्धः / सर्वे	सर्वे	
110	किस वर्ण का अगरू श्रेष्ठ होता है? (क.) श्वेत (ख.) रक्त (ग.) कृष्ण (घ.) पीत	कस्य वर्णस्य अगुरूः श्रेष्ठः अस्ति? (क.) श्वेतः (ख.) रक्तः (ग.) कृष्णः (घ.) पीतः	कस्य वर्णस्य अगुरूः श्रेष्ठः अस्ति?	श्वेतः / रक्तः / कृष्णः / पीतः	श्वेतः	
111	इन्द्रदारू निम्न में से किसका पर्याय है? (क.) देवदारू (ख.) दारूहरिद्रा (ग.) रोहितक (घ.) मंजिष्ठा	इन्द्रदारूः कस्य पर्यायः अस्ति? (क.) देवदारूः (ख.) दारूहरिद्रा (ग.) रोहितकः (घ.) मञ्जिष्ठा	इन्द्रदारूः कस्य पर्यायः अस्ति?	देवदारूः / दारूहरिद्रा / रोहितकः / मञ्जिष्ठा	देवदारूः	
112	देवदारू निम्न में से किसका पर्याय नहीं है? (क.) मस्तदारू (ख.) दारूभद्र (ग.) दारू (घ.) सुरभि दारू	देवदारूतस्य को पर्यायः न अस्ति? (क.) मस्तदारूः (ख.) दारूभद्रः (ग.) दारूः (घ.) सुरभि दारूः	देवदारूतस्य को पर्यायः न अस्ति?	मस्तदारूः / दारूभद्रः / दारूः / सुरभि दारूः	सुरभि दारूः	
115	गुग्गुलु निम्न में से किसका पर्याय नहीं है? (क.) जटायु (ख.) महिषाक्ष (ग.) पलन्कश (घ.) कृमिजग्ध	गुग्गुलुः कस्य पर्यायः न अस्ति? (क.) जटायुः (ख.) महिषाक्षः (ग.) पलन्कशः (घ.) कृमिजग्धः	गुग्गुलुः कस्य पर्यायः न अस्ति?	जटायुः / महिषाक्षः / पलन्कशः / कृमिजग्धः	कृमिजग्धः	
116	गुग्गुलु सेवन के साथ क्या अहितकर नहीं है? (क.) दुग्ध (ख.) मद्य (ग.) अम्ल पदार्थ (घ.) मैथून	गुग्गुलुसेवनेन सह किम् अहितं नास्ति? (क.) दुग्धम् (ख.) मद्यं (ग.) अम्लपदार्थः (घ.) मैथुनम्	गुग्गुलुसेवनेन सह किम् अहितं नास्ति?	दुग्धम् / मद्यं / अम्लपदार्थः / मैथुनम्	दुग्धम्	
118	जायफल निम्न में से किसका पर्याय नहीं है? (क.) जातिफल (ख.) मालतीफल (ग.) जातिकोष (घ.) जातिपुष्प	जायफलम् निम्नलिखितेषु कस्मिन् न पर्यायः अस्ति? (क.) जातिफलम् (ख.) मालतीफलम् (ग.) जातिकोषः (घ.) जातिपुष्पम्	जायफलम् निम्नलिखितेषु कस्मिन् न पर्यायः अस्ति?	जातिफलम् / मालतीफलम् / जातिकोषः / जातिपुष्पम्	जातिपुष्पम्	
120	लवङ्ग निम्न में से किसका पर्याय है? (क.) देवकुसुम (ख.) श्रीप्रसूनक (ग.) श्रीसंज्ञ (घ.) श्रीफल	लवङ्गः निम्नलिखितेषु कस्य पर्यायः अस्ति? (क.) देवकुसुमः (ख.) श्रीप्रसूनकः (ग.) श्रीसंज्ञः (घ.) श्रीफलम्	लवङ्गः निम्नलिखितेषु कस्य पर्यायः अस्ति?	देवकुसुमः / श्रीप्रसूनकः / श्रीसंज्ञः / श्रीफलम्	श्रीफलम्	
121	एला निम्न में से किसका पर्याय? (क.) बृहदेला (ख.) भद्वैला (ग.) स्थूलैला (घ.) सभी	एला निम्नलिखितेषु कस्य पर्यायः? (क.) बृहदेला (ख.) भद्वैला (ग.) स्थूलैला (घ.) सर्वे	एला निम्नलिखितेषु कस्य पर्यायः?	बृहदेला / भद्वैला / स्थूलैला / सर्वे	सर्वे	
122	एला निम्न में से किसका पर्याय नहीं है? (क.) बहुला (ख.) पृथ्वी का (ग.) भद्रश्री (घ.) निष्कुटि	एला निम्नलिखितेषु कस्मिन् न पर्यायः अस्ति? (क.) बहुला (ख.) पृथ्वी का (ग.) भद्रश्री (घ.) निष्कुटि	एला निम्नलिखितेषु कस्मिन् न पर्यायः अस्ति?	बहुला / पृथ्वी का / भद्रश्री / निष्कुटि	भद्रश्री	
123	सूक्ष्म एला निम्न में से किसका पर्याय नहीं है? (क.) उपकुन्चिका (ख.) तुत्था (ग.) द्राविडी (घ.) पृथ्वीका	सूक्ष्म एला निम्नलिखितेषु कस्मिन् न पर्यायः अस्ति? (क.) उपकुन्चिका (ख.) तुत्था (ग.) द्राविडी (घ.) पृथ्वीका	सूक्ष्म एला निम्नलिखितेषु कस्मिन् न पर्यायः अस्ति?	उपकुन्चिका / तुत्था / द्राविडी / पृथ्वीका	पृथ्वीका	
124	दारूसिता निम्न में से किसका पर्याय है? - (क.) देवदारू (ख.) दालचीनी (ग.) दारूहरिद्रा (घ.) तेजपत्र	दारूसिता निम्नलिखितेषु कस्य पर्यायः? - (क.) देवदारु (ख.) दालचीनी (ग.) दारूहरिद्रा (घ.) तेजपत्र	दारूसिता निम्नलिखितेषु कस्य पर्यायः? -	देवदारु / दालचीनी / दारूहरिद्रा / तेजपत्र	दालचीनी	
125	नागकेसर निम्न में से किसका पर्याय नही है? (क.) चाम्पेय (ख.) नागपुष्प (ग.) नागफल (घ.) काचनाहव्य	नागकेसरः निम्नलिखितेषु कस्मिन् न पर्यायः अस्ति? (क.) चाम्पेयम् (ख.) नागपुष्पः (ग.) नागफलम् (घ.) काचनाहव्यः	नागकेसरः निम्नलिखितेषु कस्मिन् न पर्यायः अस्ति?	चाम्पेयम् / नागपुष्पः / नागफलम् / काचनाहव्यः	नागफलम्	
127	कहां पर उत्पन्न केशर उत्तम माना जाता है? (क.) वाहीक (ख.) काश्मीर (ग.) पारसीक (घ.) विन्धयाचल	क्व उत्पन्नः केशरः उत्तमः मन्यते? (क.) वाहीकः (ख.) काश्मीरम् (ग.) पारसीकः (घ.) विन्ध्याचलः	क्व उत्पन्नः केशरः उत्तमः मन्यते?	वाहीकः / काश्मीरम् / पारसीकः / विन्ध्याचलः	काश्मीरम्	
128	गोरोचन निम्न में से किसका पर्याय है? (क.) वन्द्या (ख.) काश्मीर (ग.) बाहीक (घ.) चाम्पेय	गोरोचनः निम्नलिखितेषु कस्य पर्यायः अस्ति? (क.) वन्द्या (ख.) काश्मीरः (ग.) वाहीकः (घ.) चाम्पेयः	गोरोचनः निम्नलिखितेषु कस्य पर्यायः अस्ति?	वन्द्या / काश्मीरः / वाहीकः / चाम्पेयः	वन्द्या	
130	जटामांसी निम्न में से किसका पर्याय है? (क.) भूतजटा (ख.) तपस्विनी (ग.) पारसीक (घ.) सभी	जटामांस्याः निम्नेषु कस्य प्रतिरूपं अस्ति? (क.) भूतजटा (ख.) तपस्विनी (ग.) पारसीक (घ.) सर्वे	जटामांस्याः निम्नेषु कस्य प्रतिरूपं अस्ति?	भूतजटा / तपस्विनी / पारसीक / सर्वे	सर्वे	
131	गुनगुन्द्रा निम्न में से किसका पर्याय है? (क.) गुजा (ख.) नागरमोथा (ग.) गोरोचना (घ.) कुंकुम	गुणगुन्द्राया निम्नेषु कस्य प्रतिरूपं अस्ति? (क.) गुजा (ख.) नागरमोथा (ग.) गोरोचना (घ.) कुंकुम	गुणगुन्द्राया निम्नेषु कस्य प्रतिरूपं अस्ति?	गुजा / नागरमोथा / गोरोचना / कुंकुम	नागरमोथा	
132	कर्पूर निम्न में से किसका पर्याय है? (क.) वेधमुख्य (ख.) द्राविड (ग.) कल्पक (घ.) सभी	कर्पूरस्य निम्नेषु कस्य प्रतिरूपं अस्ति? (क.) वेधमुख्य (ख.) द्राविड (ग.) कल्पक (घ.) सर्वे	कर्पूरस्य निम्नेषु कस्य प्रतिरूपं अस्ति?	वेधमुख्य / द्राविड / कल्पक / सर्वे	सर्वे	
133	षड्ग्रन्था निम्न में से किसका पर्याय है? (क.)शठी (ख.) एला (ग.) अतिविषा (घ.) रसोन	षड्ग्रन्थाया: निम्नेषु कस्य प्रतिरूपं अस्ति? (क.) शठी (ख.) एला (ग.) अतिविषा (घ.) रसोन	षड्ग्रन्थाया: निम्नेषु कस्य प्रतिरूपं अस्ति?	शठी / एला / अतिविषा / रसोन	शठी	
134	पत्राढ्य और धात्रीपत्र किसके पर्याय है? (क.) तेजपत्र (ख.) आमलकी (ग.) दालचीनी (घ.) तालीस पत्र	पत्राढ्य धात्रीपत्र च कस्य प्रतिरूपं अस्ति? (क.) तेजपत्र (ख.) आमलकी (ग.) दालचिनी (घ.) तालिस पत्र	पत्राढ्य धात्रीपत्र च कस्य प्रतिरूपं अस्ति?	तेजपत्र / आमलकी / दालचिनी / तालिस पत्र	तालिस पत्र	
135	इन्द्र के द्वारा वानरों पर की गई अमृतवर्षा की बूंदो के पृथ्वी पर पड़ने से किस द्रव्य की उत्पति मानी गई है? (क.) गुडूची (ख.) लशुन (ग.) आमलकी (घ.) शतावरी	इन्द्रेण वानराणां प्रति कृतामृतवर्षाया: बिन्दव: पृथ्व्यां पतनतः कस्य द्रव्यस्य उत्पत्तिः मता अस्ति? (क.) गुडूची (ख.) लशुन (ग.) आमलकी (घ.) शतावरी	इन्द्रेण वानराणां प्रति कृतामृतवर्षाया: बिन्दव: पृथ्व्यां पतनतः कस्य द्रव्यस्य उत्पत्तिः मता अस्ति?	गुडूची / लशुन / आमलकी / शतावरी	गुडूची	
136	मधुपर्णी निम्न में से किसका पर्याय है? (क.) दालचीनी (ख.) अमृता (ग.) एला (घ.) तेजपत्र	मधुपर्ण्या: निम्नेषु कस्य प्रतिरूपं अस्ति? (क.) दालचिनी (ख.) अमृता (ग.) एला (घ.) तेजपत्र	मधुपर्ण्या: निम्नेषु कस्य प्रतिरूपं अस्ति?	दालचिनी / अमृता / एला / तेजपत्र	अमृता	
137	गिलोय निम्न में से किसका पर्याय नहीं है? (क.) अमृतवल्लरी (ख.) छिन्नरूहा (ग.) सोमवल्ली (घ.) कोई नहीं	गुडूचि निम्नेषु कस्य पर्यायः नास्ति? (क.) अमृतवल्लरी (ख.) छिन्नरुहा (ग.) सोमवल्ली (घ.) कश्चित् न	गुडूचि निम्नेषु कस्य पर्यायः नास्ति?	अमृतवल्लरी / छिन्नरुहा / सोमवल्ली / कश्चित् न	कश्चित् न	
138	गुडूची निम्न में से किसका पर्याय है? (क.) वत्सादनी (ख.) तन्त्रिका (ग.) चक्रलक्षणिका (घ.) सभी	गुडूच्या: निम्नेषु कस्य प्रतिरूपं अस्ति? (क.) वत्सादनी (ख.) तन्त्रिका (ग.) चक्रलक्षणिका (घ.) सर्वे	गुडूच्या: निम्नेषु कस्य प्रतिरूपं अस्ति?	वत्सादनी / तन्त्रिका / चक्रलक्षणिका / सर्वे	सर्वे	
139	पान का वर्णन भावप्रकाश में किस वर्ग में मिलता है? (क.) हरिद्रादि (ख.) गुडूच्यादि (ग.) रसोनादि (घ.) सभी	पानस्य वर्णनं भावप्रकाशे तेजस्स्त्रीणां वर्गे कुतः लभते? (क.) हरिद्रादि (ख.) गुडूच्यादि (ग.) रसोनादि (घ.) सर्वे	पानस्य वर्णनं भावप्रकाशे तेजस्स्त्रीणां वर्गे कुतः लभते?	हरिद्रादि / गुडूच्यादि / रसोनादि / सर्वे	गुडूच्यादि	
140	श्रीफल निम्न में से किसका पर्याय है? (क.) धतूरा (ख.) बिल्व (ग.) भंगा (घ.) लवंग	श्रीफलः केषां पर्यायः अस्ति? (क.) धत्तूरः (ख.) बिल्वः (ग.) भङ्गः (घ.) लवङ्गः	श्रीफलः केषां पर्यायः अस्ति?	धत्तूरः / बिल्वः / भङ्गः / लवङ्गः	बिल्वः	
141	गम्भारी निम्न में से किसका पर्याय नहीं है? (क.) सोम बल्ली (ख.) मधुपर्णिका (ग.) पीतरोहिणी (घ.) काश्मरी	गम्भारी केषां पर्यायः नास्ति? (क.) सोमवल्ली (ख.) मधुपर्णिका (ग.) पीतरोहिणी (घ.) काश्मरी	गम्भारी केषां पर्यायः नास्ति?	सोमवल्ली / मधुपर्णिका / पीतरोहिणी / काश्मरी	सोमवल्ली	
142	गणिकारीका निम्न में से किसका पर्याय है? (क.) पाटला (ख.) अग्निमंथ (ग.) गम्भारी (घ.) बिल्व	गणिकारीका केषां पर्यायः अस्ति? (क.) पाटला (ख.) अग्निमन्थः (ग.) गम्भारी (घ.) बिल्वः	गणिकारीका केषां पर्यायः अस्ति?	पाटला / अग्निमन्थः / गम्भारी / बिल्वः	अग्निमन्थः	
143	बृहत पंचमूल का वर्णन भावप्रकाश के किस प्रकरण में किया है? (क.) हरीतक्यादि वर्ग (ख.) गुडूच्यादि वर्ग (ग.) वटादि वर्ग (घ.) वर्णन नहीं	बृहत्पञ्चमूलस्य वर्णनं भावप्रकाशस्य कस्मिन् प्रकरणे कृतम्? (क.) हरीतक्यादिवर्गे (ख.) गुडूच्यादिवर्गे (ग.) वटादिवर्गे (घ.) वर्णनं नास्ति	बृहत्पञ्चमूलस्य वर्णनं भावप्रकाशस्य कस्मिन् प्रकरणे कृतम्?	हरीतक्यादिवर्गे / गुडूच्यादिवर्गे / वटादिवर्गे / वर्णनं नास्ति	गुडूच्यादिवर्गे	
146	गोक्षुर निम्न में से किसका पर्याय नहीं है? (क.) पलङ्कषा (ख.) श्वदंष्ट्रा (ग.) इक्षुगंधिका (घ.) दुःस्पर्शा	गोक्षुरः केषां पर्यायः नास्ति? (क.) पलङ्कषा (ख.) श्वदंष्ट्रा (ग.) इक्षुगन्धिका (घ.) दुःस्पर्शा	गोक्षुरः केषां पर्यायः नास्ति?	पलङ्कषा / श्वदंष्ट्रा / इक्षुगन्धिका / दुःस्पर्शा	दुःस्पर्शा	
147	दशमूल का वर्णन भावप्रकाश में कहां है? (क.) गुडूच्यादि वर्ग (ख.) हरीतक्यादि वर्ग (ग.) वटादि वर्ग (घ.) वर्णन नहीं है	दशमूलस्य वर्णनं भावप्रकाशे कुत्र अस्ति? (क.) गुडूच्यादिवर्गे (ख.) हरीतक्यादिवर्गे (ग.) वटादिवर्गे (घ.) वर्णनं नास्ति	दशमूलस्य वर्णनं भावप्रकाशे कुत्र अस्ति?	गुडूच्यादिवर्गे / हरीतक्यादिवर्गे / वटादिवर्गे / वर्णनं नास्ति	गुडूच्यादिवर्गे	
151	भाव प्रकाश ने शुक्ल एवं रक्त किसके भेद बतायें हैं? (क.) एरण्ड (ख.) स्नुही (ग.) अर्क (घ.) क-ख	भावप्रकाशे शुक्लं रक्तं चेत्येतयोः भेदाः केषां उक्ताः? (क.) एरण्डः (ख.) स्नुही (ग.) अर्कः (घ.) क-ख	भावप्रकाशे शुक्लं रक्तं चेत्येतयोः भेदाः केषां उक्ताः?	एरण्डः / स्नुही / अर्कः / क-ख	क-ख	
153	"भक्षितं विषवन्मतम्" किसके बारे में कहा गया है? (क.) अर्क (ख.) स्नूही (ग.) कलिहारी (घ.) करवीर	"भक्षितं विषवन्मतम्" कस्य विषये उक्तम्? (क.) अर्कः (ख.) स्नूही (ग.) कलिहारी (घ.) करवीरः	भक्षितं विषवन्मतम् कस्य विषये उक्तम्?	अर्कः / स्नूही / कलिहारी / करवीरः	करवीरः	
154	मातुलपुत्रक किसके फल को कहते है? (क.) भंगा (ख.) अहिफेन (ग.) धतूरा (घ.) एरण्ड	मातुलपुत्रकं कस्य फलं कथ्यते? (क.) भङ्गः (ख.) अहिफेनः (ग.) धत्तूरः (घ.) एरण्डः	मातुलपुत्रकं कस्य फलं कथ्यते?	भङ्गः / अहिफेनः / धत्तूरः / एरण्डः	धत्तूरः	
155	हिङ्गुनिर्यास निम्न में से किसका पर्याय है? (क.) हिङगुल (ख.) निम्ब (ग.) पारद (घ.) हींग	हिङ्गुनिर्यासः केषां पर्यायः अस्ति? (क.) हिङ्गुलः (ख.) निम्बः (ग.) पारदः (घ.) हीङ्गः	हिङ्गुनिर्यासः केषां पर्यायः अस्ति?	हिङ्गुलः / निम्बः / पारदः / हीङ्गः	निम्बः	
