sentence	gold	id	gpt-4o	llama-v3p1-405b-instruct	gpt-4o-mini	llama-v3p1-8b-instruct
tataḥ śūrpaṇakhā nāma rākṣasī vākyam abravīt	O B-RAKSHASA O O O O	56	{'B-RAKSHASA': ['śūrpaṇakhā', 'rākṣasī']}	{'B-RAKSHASA': ['rākṣasī']}	{'B-RAKSHASA': ['śūrpaṇakhā'], 'I-RAKSHASA': ['nāma'], 'O': ['tataḥ', 'vākyam', 'abravīt']}	{'B-LOCATION': ['tataḥ'], 'B-ORGANIZATION': ['śūrpaṇakhā'], 'B-ANIMAL': ['rākṣasī']}
ajāmukhyā yad uktaṃ tad eva mama hi rocate	B-RAKSHASA O O O O O O O	57	{}	{'B-ASURA': ['ajāmukhyā']}	{}	{'B-DEVA': ['ajāmukhyā'], 'B-HUMAN': ['mama']}
sarvaśokavināśinī surā ca kṣipraṃ ānīyatām	O B-VINE O O O	58	{'B-DEVA': ['surā']}	{'B-DEVA': ['surā']}	{}	{'B-DEVA': ['sarvaśokavināśinī'], 'B-ASURA': ['surā']}
mānuṣaṃ māṃsam āsādya 'tha nikumbhilām nṛtyāmo	B-HUMAN O O O B-DEVA O	59	{'B-RAKSHASA': ['nikumbhilām']}	{'B-HUMAN': ['mānuṣaṃ']}	{}	{'B-DEVA': ['mānuṣaṃ'], 'B-HUMAN': ['māṃsam'], 'B-ASURA': ['nikumbhilām']}
sughorābhir rākṣasībhiḥ evaṃ saṃbhartsyamānā surasutopamā sā sītā dhairyam utsṛjya roditi	O B-RAKSHASA O O O O B-HUMAN O O O	60	{'B-RAKSHASA': ['rākṣasībhiḥ'], 'B-HUMAN': ['sītā']}	{'B-RAKSHASA': ['rākṣasībhiḥ'], 'B-DEVA': ['surasutopamā']}	{'B-RAKSHASA': ['rākṣasībhiḥ'], 'B-HUMAN': ['sītā']}	{'B-DEVA': ['surasutopamā'], 'B-RAKSHASA': ['rākṣasībhiḥ']}
bhīru jānāsi hi yathā strīṇāṃ yauvanam adhruvam yāvat te na vyatikrāmet tāvat sukham avāpnuhi tāsāṃ asaumyānāṃ rākṣasīnām paruṣaṃ dāruṇaṃ vadantīnāṃ tathā janakātmajā bahu ruroda	B-HUMAN O O O O O O O O O O O O O O O B-RAKSHASA O O O O B-HUMAN O O	61	{'B-RAKSHASA': ['rākṣasīnām']}	{'B-RAKSHASA': ['rākṣasīnāṃ']}	{'B-RAKSHASA': ['rākṣasīnām'], 'B-HUMAN': ['janakātmajā'], 'B-ORNAMENT': ['sukham']}	{'B-ASURA': ['rākṣasīnām'], 'B-HUMAN': ['bhīru', 'janakātmajā']}
rākṣasībhir evam uktā tu paramatrastā manasvinī vaidehī bāṣpa gadgadayā girā uvāca	B-RAKSHASA O O O O O O O O O O	62	{'B-RAKSHASA': ['rākṣasībhir']}	{'B-RAKSHASA': ['rākṣasībhir'], 'B-HUMAN': ['vaidehī']}	{}	{'B-DEVA': ['rākṣasībhir'], 'B-HUMAN': ['vaidehī'], 'B-TREE': ['gadgadayā'], 'B-MOUNTAIN': ['girā']}
mānuṣī rākṣasasya bhāryā na bhavitum arhati	B-HUMAN B-RAKSHASA O O O O	63	{'B-RAKSHASA': ['rākṣasasya'], 'B-HUMAN': ['mānuṣī']}	{'B-HUMAN': ['mānuṣī'], 'B-RAKSHASA': ['rākṣasasya']}	{'B-RĀKṢASA': ['rākṣasasya'], 'B-MĀNUṢA': ['mānuṣī']}	{'B-HUMAN': ['mānuṣī'], 'B-RAKSHASA': ['rākṣasasya']}
rākṣasīmadhyagatā surasutopamā sā sītā rāvaṇena tarjitā ca duḥkhārtā śarma na lebhe	O O O B-HUMAN B-ASURA O O O O O O	64	{'B-RAKSHASA': ['rākṣasīmadhyagatā'], 'B-DEVA': ['surasutopamā'], 'B-HUMAN': ['sītā']}	{'B-RAKSHASA': ['rākṣasī'], 'B-HUMAN': ['sītā'], 'B-ASURA': ['rāvaṇena']}	{'B-RAKSHASA': ['rākṣasīmadhyagatā'], 'B-HUMAN': ['sītā'], 'B-ASURA': ['rāvaṇena'], 'B-FRUIT': ['tarjitā'], 'B-SEA': ['duḥkhārtā	{'B-DEVA': ['surasutopamā'], 'B-RAKSHASA': ['rākṣasī'], 'B-HUMAN': ['sītā']}
vane yūthaparibhraṣṭā kokair arditā mṛgī iva sītā ātmanaḥ aṅgam viśatī iva adhikam vepate sma	B-FOREST O O O O O B-HUMAN O O O O O O O	65	{'B-FOREST': ['vane']}	{'B-HUMAN': ['sītā'], 'B-FOREST': ['vane'], 'B-ANIMAL': ['mṛgī']}	{}	{'B-DEVA': ['vane'], 'B-HUMAN': ['yūthaparibhraṣṭā'], 'B-ASURA': ['arditā'], 'B-MOUNTAIN': ['mṛgī'], 'B-TREE': ['sītā'],
śokena bhagnamānasā sā tu aśokasya vipulāṃ puṣpitām śākhām ālambya bhartāraṃ cintayāmāsa	O O O O B-TREE O O O O O O	66	{'B-TREE': ['aśokasya'], 'B-FLOWER': ['puṣpitām']}	{'B-TREE': ['aśokasya']}	{}	{'B-DEVA': ['śokena'], 'B-HUMAN': ['bhagnamānasā'], 'B-ASURA': ['aśokasya'], 'B-TREE': ['puṣpitām śākhām'], 'B-RAKSHASA': ['
pravāte vepamānā kadalī yathā sā rākṣasīnāṃ bhayatrastā patitā vivarṇa vadanā abhavat	O O B-TREE O O B-RAKSHASA O O O O O	67	{'B-RAKSHASA': ['rākṣasīnāṃ']}	{'B-RAKSHASA': ['rākṣasīnāṃ']}	{'B-RAKSHASA': ['rākṣasīnāṃ'], 'B-FLOWER': ['kadalī']}	{'B-RAKSHASA': ['rākṣasīnāṃ', 'bhayatrastā', 'patitā', 'vivarṇa', 'vadanā']}
tadā vepantyāḥ sā sītayā tasyāḥ dīrgha vipulā kampinī veṇī parisarpatī vyālī iva dadṛśe	O O O B-HUMAN O O O O O O O O O	68	{'B-HUMAN': ['sītayā']}	{'B-HUMAN': ['sītayā']}	{}	{'B-DEVA': ['tadā'], 'B-HUMAN': ['sā', 'sītayā', 'tasyāḥ'], 'B-RAKSHASA': ['vyālī']}
duḥkhārtā śoka upahata cetanā ārtā sā maithilī niḥśvasantī aśrūṇi vyasṛjad vilalāpa ha	O O O O O O B-HUMAN O O O O O	69	{}	{'B-HUMAN': ['maithilī']}	{}	{'B-DEVA': ['duḥkhārtā'], 'B-HUMAN': ['śoka', 'ārtā', 'maithilī', 'niḥśvasantī', 'aśrūṇi', 'vyasṛjad', 'vil
bhāvini duḥkha ārtā hā rāmaiḥ iti punar hā lakṣmaṇaiḥ iti ca hā mama śvaśru kausalye ca hā sumitrā iti	B-HUMAN O O O B-HUMAN O O O B-HUMAN O O O O O B-HUMAN O O B-HUMAN O	70	{'B-HUMAN': ['rāmaiḥ', 'lakṣmaṇaiḥ', 'kausalye', 'sumitrā']}	{'B-HUMAN': ['rāmaiḥ', 'lakṣmaṇaiḥ', 'kausalye', 'sumitrā']}	{}	{'B-DEVA': ['rāmaiḥ'], 'B-HUMAN': ['lakṣmaṇaiḥ'], 'B-HUMAN': ['mama śvaśru kausalye'], 'B-HUMAN': ['sumitrā']}
paṇḍitaiḥ 'yaṃ lokapravādaḥ satyo samudāhṛtaḥ striyā vā puruṣasya vā akāle mṛtyuḥ durlabho	B-HUMAN O O O O B-HUMAN O B-HUMAN O O O O	71	{'B-HUMAN': ['paṇḍitaiḥ'], 'B-SEA': ['samudāhṛtaḥ']}	{'B-HUMAN': ['puruṣasya', 'striyā']}	{}	{'B-LOC': ['yaṃ lokapravādaḥ'], 'B-ORG': ['paṇḍitaiḥ']}
yatra aham krūrābhī rākṣasībhir arditā rāmeṇa ābhiḥ hīnā duḥkhitā iha muhūrtam api jīvāmi	O O O B-RAKSHASA O B-HUMAN O O O O O O O	72	{'B-RAKSHASA': ['rākṣasībhir'], 'B-HUMAN': ['rāmeṇa'], 'B-MUHURTA': ['muhūrtam']}	{'B-RAKSHASA': ['rākṣasībhir']}	{'B-RAKSHASA': ['rākṣasībhir'], 'B-HUMAN': ['aham'], 'B-MUHURTA': ['muhūrtam'], 'B-DEVA': ['rāmeṇa'], 'B-HUMAN': ['jīvāmi']}	{'B-DEVA': ['rāmeṇa'], 'B-HUMAN': ['aham'], 'B-RAKSHASA': ['rākṣasībhir']}
alpa puṇyā kṛpaṇā eṣā samudramadhye vāyu vegaiḥ āhatā pūrṇā nauḥ iva anātha vat vinaśiṣyāmi	O O O O B-SEA O O O O O O O O O	73	{'B-SEA': ['samudramadhye']}	{'B-SEA': ['samudramadhye']}	{}	{'B-DEVA': ['alpa', 'puṇyā', 'kṛpaṇā', 'eṣā'], 'B-ASURA': ['vāyu', 'vegaiḥ', 'āhatā'], 'B-HUMAN': ['pū
rākṣasīvaśam āgatā bhartāraṃ tam apaśyantī toya hatam kūlaṃ yathā śokena sīdāmi khalu	O O O O O O O B-RIVERBANK O O O O	74	{'B-RAKSHASA': ['rākṣasīvaśam'], 'B-KULA': ['kūlaṃ']}	{'B-RAKSHASA': ['rākṣasīvaśam'], 'B-KULA': ['kūlaṃ']}	{'B-RAKSHASA': ['rākṣasīvaśam'], 'B-KULA': ['kūlaṃ']}	{'B-RAKSHASA': ['rākṣasīvaśam'], 'B-KULA': ['kūlaṃ']}
padmadalapatrākṣaṃ siṃhavikrāntagāminam kṛtajñaṃ priyavādinam me nāthaṃ paśyanti taṃ dhanyāḥ	O O O O O B-HUMAN O O O	75		{'B-HUMAN': ['nāthaṃ']}	{}	{'B-DEVA': ['padmadalapatrākṣaṃ'], 'B-HUMAN': ['priyavādinam'], 'B-DEVA': ['nāthaṃ']}
tīkṣṇaṃ viṣam āsvādya iva viditātmanā tena rāmeṇa hīnāyā mama jīvitam sarvathā durlabhaṃ	O O O O O O B-HUMAN O O O O O	76	{}	{'B-HUMAN': ['rāmeṇa']}	{}	{'B-ASURA': ['tīkṣṇaṃ'], 'B-RAKSHASA': ['viṣam'], 'B-HUMAN': ['viditātmanā'], 'B-DEVA': ['tena rāmeṇa'], 'B-N
rākṣasībhiḥ rakṣantyā mayā rāmo na āsādyate mahatā śokena vṛtā ca jīvitaṃ tyaktum icchāmi	B-RAKSHASA O O B-HUMAN O O O O O O O O O	77	{'B-RAKSHASA': ['rākṣasībhiḥ'], 'B-HUMAN': ['rāmo']}	{'B-RAKSHASA': ['rākṣasībhiḥ']}	{}	{'B-DEVA': ['rāmo'], 'B-RAKSHASA': ['rākṣasībhiḥ'], 'B-HUMAN': ['mayā']}
mānuṣyaṃ dhik astu khalu paravaśyatām dhik dhig yat ātmacchandena jīvitam parityaktum na śakyaṃ prasakta aśru mukhā bālā janakātmajā evam bruvantī iti adhomukhamukhī vilaptum upacakrame	B-HUMAN O O O O O O O O O O O O O O O O B-HUMAN O O O O O O	78	{'B-HUMAN': ['mānuṣyaṃ'], 'B-HUMAN': ['janakātmajā']}	{'B-HUMAN': ['mānuṣyaṃ', 'bālā', 'janakātmajā']}	{}	{'B-DEVA': ['ātmacchandena'], 'B-HUMAN': ['mānuṣyaṃ'], 'B-ASURA': ['aśru']}
unmattā iva pramattā iva bhrānta cittā iva śocatī mahītale upāvṛttā kiśorī iva viveṣṭantī	O O O O O O O O O O B-HUMAN O O	79		{'B-HUMAN': ['kiśorī']}	{}	{'B-DEVA': ['unmattā', 'pramattā', 'bhrānta cittā'], 'B-RAKSHASA': ['kiśorī']}
rāghavasya pramattasya kāmarūpiṇā rakṣasā pramathya rāvaṇena balāt krośatī aham ānītā	B-HUMAN O O B-RAKSHASA O B-ASURA O O O O	80	{'B-HUMAN': ['rāghavasya'], 'B-RAKSHASA': ['rakṣasā', 'rāvaṇena']}	{'B-RAKSHASA': ['rakṣasā', 'rāvaṇena']}	{'B-RAKSHASA': ['rakṣasā'], 'B-KINGDOM': ['rāghavasya']}	{'B-DEVA': ['rāghavasya'], 'B-RAKSHASA': ['rakṣasā'], 'B-HUMAN': ['rāvaṇena'], 'B-NAGA': ['krośatī']}
rākṣasī vaśam āpannā sudāruṇam bhartsyamānā cintayantī su duḥkha ārtā aham jīvitum na utsahe	B-RAKSHASA O O O O O O O O O O O O	81	{'B-RAKSHASA': ['rākṣasī']}	{'B-RAKSHASA': ['rākṣasī']}	{}	{'B-DEVA': ['rākṣasī'], 'B-RAKSHASA': ['rākṣasī'], 'B-HUMAN': ['aham'], 'B-ASTRA': ['utsahe']}
mahāratham rāmaṃ vinā rākṣasī madhye vasantyā me jīvitena arthaḥ hi na arthaiḥ eva na bhūṣaṇaiḥ ca na	O B-HUMAN O B-RAKSHASA O O O O O O O O O O B-ORNAMENT O O	82	{'B-RAKSHASA': ['rākṣasī']}	{'B-RATHA': ['mahāratham'], 'B-RAKSHASA': ['rākṣasī']}	{'B-RAKSHASA': ['rākṣasī'], 'B-HUMAN': ['rāmaṃ'], 'B-FLOWER': ['vasantyā']}	{'B-DEVA': ['mahāratham'], 'B-RAKSHASA': ['rākṣasī'], 'B-HUMAN': ['vasantyā'], 'B-ORNAMENT': ['bhūṣaṇaiḥ']}
asatīṃ anāryām mām dhik api yā aham tena vinā kṛtā pāpajīvitā muhūrtam jīvitaṃ rakṣāmi	O O O O O O O O O O O B-MUHURTA O O	83	{'B-MUHURTA': ['muhūrtam']}	{'B-MUHURTA': ['muhūrtam']}	{}	{'B-DEVA': ['asatīṃ'], 'B-ASURA': ['anāryām'], 'B-HUMAN': ['mām'], 'B-ASTRA': ['muhūrtam'], 'B-RAKSHASA': ['rakṣāmi']}
sāgarāntāyā vasudhāyāḥ bhartāraṃ priyaṃvadam taṃ priyaṃ ca vinā me jīvite sukhe vā śraddhā kā	B-SEA B-GRAHA O O O O O O O O O O O O	84		{'B-SEA': ['sāgarāntāyā']}	{}	{'B-LOCATION': ['sāgarāntāyā', 'vasudhāyāḥ'], 'B-ORGANIZATION': ['bhartāraṃ']}
vigarhitam niśācaram rāvaṇaṃ ahaṃ savyena caraṇena api na spṛśeyaṃ kāmayeyaṃ kiṃ punar	O B-RAKSHASA B-RAKSHASA O O O O O O O O O	85	{'B-RAKSHASA': ['niśācaram', 'rāvaṇaṃ']}	{'B-RAKSHASA': ['niśācaram', 'rāvaṇaṃ']}	{}	{'B-DEVA': ['vigrahitam'], 'B-ASURA': ['rāvaṇaṃ'], 'B-HUMAN': ['ahaṃ']}
yo nṛśaṃsasvabhāvena māṃ prārthayitum icchati pratyākhyātaṃ na jānāti ātmānam na ātmanaḥ kulam na	O O O O O O O O O O O B-KULA O	86	{'B-HUMAN': ['yo'], 'B-KULA': ['kulam']}	{'B-HUMAN': ['nṛśaṃsasvabhāvena'], 'B-KULA': ['kulam']}	{'B-KULA': ['kulam']}	{'B-DEVA': ['yo'], 'B-HUMAN': ['nṛśaṃsasvabhāvena', 'ātmānam', 'ātmanaḥ'], 'B-KULA': ['kulam']}
chinnā bhinnā vibhaktā vā dīpte agnau pradīpitā vā rāvaṇaṃ na upatiṣṭheyam ciram pralāpena vaḥ kiṃ	O O O O O B-ASTRA O O B-ASURA O O O O O O	87	{'B-ASURA': ['rāvaṇaṃ']}	{'B-RAKSHASA': ['rāvaṇaṃ']}	{}	{'B-DEVA': ['rāvaṇaṃ']}
rāghavaḥ prājñaḥ kṛtajñaḥ sānukrośaśca sadvṛtto khyātaḥ ca	B-HUMAN O O O O O O	88		{'B-HUMAN': ['rāghavaḥ']}	{}	{'B-DEVA': ['rāghavaḥ'], 'B-HUMAN': ['prājñaḥ', 'kṛtajñaḥ', 'sānukrośaśca', 'sadvṛtto', 'khyāta
janasthāne yena ekena caturdaśa sahasrāṇi rākṣasānāṃ nirastāni sa māṃ kiṃ na abhipadyate	B-FOREST O O O O B-RAKSHASA O O O O O O	89	{'B-FOREST': ['janasthāne'], 'B-RAKSHASA': ['rākṣasānāṃ']}	{'B-RAKSHASA': ['rākṣasānāṃ']}	{'B-RAKSHASA': ['rākṣasānāṃ']}	{'B-DEVA': ['janasthāne'], 'B-RAKSHASA': ['rākṣasānāṃ']}
alpavīryeṇa rāvaṇena rakṣasā aham niruddhā	O B-ASURA O O O	90	{'B-RAKSHASA': ['rāvaṇena', 'rakṣasā']}	{'B-RAKSHASA': ['rāvaṇena', 'rakṣasā']}	{'B-RAKSHASA': ['rāvaṇena', 'rakṣasā']}	{'B-LOCATION': ['alpavīryeṇa'], 'B-ORGANIZATION': ['rakṣasā'], 'B-ORGANIZATION': ['rakṣasā'], 'B-ORGANIZATION': ['rakṣasā'], 'B-ORGANIZATION
me bhartā āhave rāvaṇaṃ hantum samarthaḥ khalu	O O O B-ASURA O O O	91	{'B-HUMAN': ['bhartā'], 'B-ASURA': ['rāvaṇaṃ']}	{'B-RAKSHASA': ['rāvaṇaṃ']}	{}	{'B-DEVA': ['bhartā'], 'B-ASURA': ['rāvaṇaṃ']}
yena rāmeṇa daṇḍakāraṇye rākṣasapuṃgavaḥ virādho raṇe nihataḥ sa māṃ kiṃ na abhipadyate	O B-HUMAN B-FOREST O B-RAKSHASA O O O O O O O	92	{'B-VANARA': ['rāmeṇa'], 'B-FOREST': ['daṇḍakāraṇye'], 'B-RAKSHASA': ['virādho']}	{'B-RAKSHASA': ['rākṣasapuṃgavaḥ', 'virādho'], 'B-HUMAN': ['rāmeṇa']}	{'B-RAKSHASA': ['rākṣasapuṃgavaḥ'], 'B-HUMAN': ['virādho'], 'B-AXE': ['daṇḍakāraṇye'], 'B-KINGDOM': ['raṇe']}	{'B-DEVA': ['yena rāmeṇa'], 'B-RAKSHASA': ['rākṣasapuṃgavaḥ']}
iyam laṅkā samudrasya madhye duṣpradharṣaṇā kāmaṃ tu rāghava bāṇānām gatirodhī na vidyate ha	O B-CITY B-SEA O O O O B-HUMAN O O O O O	93	{'B-KINGDOM': ['laṅkā'], 'B-SEA': ['samudrasya'], 'B-HUMAN': ['rāghava'], 'B-ARROW': ['bāṇānām']}	{'B-KINGDOM': ['laṅkā'], 'B-SEA': ['samudrasya']}	{'B-KINGDOM': ['laṅkā'], 'B-SEA': ['samudrasya']}	{'B-LOCATION': ['laṅkā', 'samudrasya', 'madhye', 'duṣpradharṣaṇā', 'kāmaṃ', 'gatirodhī'], 'B-ORGANIZATION': ['rāghava
tat kāraṇaṃ kiṃ nu yena dṛḍhaparākramaḥ rāmo rakṣasā apahṛtām iṣṭāṃ bhāryām na abhyavapadyate	O O O O O O B-HUMAN B-RAKSHASA O O O O O	94	{'B-HUMAN': ['rāmo'], 'B-RAKSHASA': ['rakṣasā']}	{'B-HUMAN': ['rāmo'], 'B-RAKSHASA': ['rakṣasā']}	{'B-RAKSHASA': ['rakṣasā'], 'B-HUMAN': ['rāmo'], 'B-HOUSE': ['bhāryām']}	{'B-DEVA': ['Rāmo'], 'B-RAKSHASA': ['rakṣasā']}
lakṣmaṇapūrvajaḥ tejasvī māṃ ihasthāṃ na jānīte śaṅke hi jānann api dharṣaṇāṃ marṣayiṣyati	B-HUMAN O O O O O O O O O O O	95		{'B-HUMAN': ['lakṣmaṇapūrvajaḥ']}	{}	{'B-DEVA': ['lakṣmaṇapūrvajaḥ', 'tejasvī'], 'B-HUMAN': ['māṃ'], 'B-ASURA': ['śaṅke'], 'B-RAKSHASA': ['dharṣ
yo 'dhigatvā māṃ rāvaṇena hṛtā iti rāghavāya nivedayet sa gṛdhrarājo 'pi raṇe nipātitaḥ	O O O B-ASURA O O B-HUMAN O O B-GRIDHRA O O O	96	{'B-HUMAN': ['yo'], 'B-RAKSHASA': ['rāvaṇena'], 'B-HUMAN': ['rāghavāya'], 'B-GRIDHRA': ['gṛdhrarājo']}	{'B-GRIDHRA': ['gṛdhrarājo']}	{'B-ASURA': ['rāvaṇena'], 'B-GRIDHRA': ['gṛdhrarājo']}	{'B-DEVA': ['rāvaṇena', 'rāghavāya'], 'B-RAKSHASA': ['rāvaṇena'], 'B-HUMAN': ['rāghavāya'], 'B-ANIMAL': ['gṛdhrar
tena jaṭāyuṣā vṛddhena api māṃ abhyavapadyatā rāvaṇa dvaṃdve tiṣṭhatā tadā mahat karma kṛtaṃ	O B-GRIDHRA O O O O B-ASURA O O O O O O	97	{'B-GRIDHRA': ['jaṭāyuṣā'], 'B-ASURA': ['rāvaṇa']}	{'B-RAKSHASA': ['rāvaṇa'], 'B-VANARA': ['jaṭāyuṣā']}	{}	{'B-DEVA': ['rāvaṇa'], 'B-ASURA': ['rāvaṇa']}
yadi sa rāghavaḥ mām iha vartamānāṃ jānīyād adya abhikruddhaḥ bāṇair lokam arākṣasam kuryāl	O O B-HUMAN O O O O O O B-ARROW O O O	98	{'B-HUMAN': ['rāghavaḥ'], 'B-RAKSHASA': ['arākṣasam'], 'B-ARROW': ['bāṇair']}	{'B-HUMAN': ['rāghavaḥ'], 'B-ARROW': ['bāṇair'], 'B-LOKAM': ['lokam']}	{'B-ASURA': ['arākṣasam']}	{'B-DEVA': ['rāghavaḥ'], 'B-RAKSHASA': ['arākṣasam']}
laṅkāṃ purīṃ vidhamet ca mahodadhim śoṣayet ca nīcasya rāvaṇasya nāma ca kīrtiṃ ca nāśayet	B-KINGDOM B-CITY O O B-SEA O O O B-ASURA O O O O O	99	{'B-CITY': ['laṅkāṃ', 'purīṃ'], 'B-SEA': ['mahodadhim'], 'B-ASURA': ['rāvaṇasya']}	{'B-CITY': ['laṅkāṃ', 'purīṃ'], 'B-SEA': ['mahodadhim'], 'B-RAKSHASA': ['rāvaṇasya']}	{'B-CITY': ['laṅkāṃ', 'purīṃ'], 'B-SEA': ['mahodadhim'], 'B-ASURA': ['rāvaṇasya'], 'B-KINGDOM': ['kīrtiṃ']}	{'B-LOCATION': ['laṅkāṃ', 'purīṃ'], 'B-ORGANIZATION': ['mahodadhim'], 'B-LOCATION': ['śoṣayet'], 'B-PERSON': ['rāvaṇasya'], 'B-LOCATION
tato yathā evaṃ aham rudatī tathā gṛhe gṛhe nihatanāthānāṃ rākṣasīnāṃ bhūyo na saṃśayaḥ	O O O O O O B-HOUSE B-HOUSE O B-RAKSHASA O O O	100	{'B-HOUSE': ['gṛhe', 'gṛhe'], 'B-RAKSHASA': ['rākṣasīnāṃ']}	{'B-RAKSHASA': ['rākṣasīnāṃ'], 'B-HOUSE': ['gṛhe']}	{'B-RAKSHASA': ['rākṣasīnāṃ']}	{'B-DEVA': ['rudatī'], 'B-RAKSHASA': ['rākṣasīnāṃ']}
salakṣmaṇaḥ rāmaḥ laṅkāṃ anviṣya rakṣasāṃ kuryād	B-HUMAN B-HUMAN B-KINGDOM O B-RAKSHASA O	101	{'B-HUMAN': ['salakṣmaṇaḥ', 'rāmaḥ'], 'B-KINGDOM': ['laṅkāṃ'], 'B-RAKSHASA': ['rakṣasāṃ']}	{'B-HUMAN': ['salakṣmaṇaḥ', 'rāmaḥ'], 'B-KINGDOM': ['laṅkāṃ'], 'B-RAKSHASA': ['rakṣasāṃ']}	{'B-RAKSHASA': ['rakṣasāṃ'], 'B-CITY': ['laṅkāṃ']}	{'B-DEVA': ['salakṣmaṇaḥ'], 'B-HUMAN': ['rāmaḥ'], 'B-RAKSHASA': ['rakṣasāṃ']}
tābhyāṃ dṛṣṭo ripur muhūrtam api na jīvati hi	O O O B-MUHURTA O O O O	102	{'B-MUHURTA': ['muhūrtam']}	{'B-MUHURTA': ['muhūrtam']}	{}	{'B-DEVA': ['tābhyāṃ'], 'B-ASURA': ['ripur'], 'B-ASTRA': ['muhūrtam']}
acireṇa iyam laṅkā citā dhūma ākula pathā tu gṛdhra maṇḍala saṃkulā śmaśāna sadṛśā bhavet tu laṅkāyām yādṛśāni aśubhāni dṛśyante tu acireṇa kālena eva hataprabhā bhaviṣyati	O O B-KINGDOM O O O B-ROAD O B-GRIDHRA O O O O O O B-KINGDOM O O O O O O O O O	103	{'B-CITY': ['laṅkā', 'laṅkāyām'], 'B-ROAD': ['pathā'], 'B-GRIDHRA': ['gṛdhra'], 'B-CITY': ['citā']}	{'B-CITY': ['laṅkā', 'laṅkāyām'], 'B-GRIDHRA': ['gṛdhra']}	{'B-CITY': ['laṅkā', 'laṅkā'], 'B-GRIDHRA': ['gṛdhra']}	{'B-LOCATION': ['laṅkā', 'pathā', 'maṇḍala', 'śmaśāna', 'laṅkāyām'], 'B-ORGANISM': ['gṛdhra']}
pāpe rākṣasādhipe rāvaṇe hate durdharṣā laṅkā nūnaṃ vidhavā pramadā yathā śoṣaṃ yāsyati	O B-RAKSHASA B-ASURA O O B-KINGDOM O O O O O O	104	{'B-RAKSHASA': ['rākṣasādhipe', 'rāvaṇe'], 'B-CITY': ['laṅkā']}	{'B-RAKSHASA': ['rākṣasādhipe', 'rāvaṇe'], 'B-KINGDOM': ['laṅkā']}	{'B-RAKSHASA': ['rākṣasādhipe', 'rāvaṇe'], 'B-KINGDOM': ['laṅkā']}	{'B-ASURA': ['rākṣasādhipe', 'rāvaṇe'], 'B-HUMAN': ['pāpe', 'vidhavā', 'pramadā']}
puṇya utsava samṛddhā naṣṭabhartrī laṅkā purī ca naṣṭabhartrī aṅganā yathā naṣṭabhartrī bhaviṣyati	O B-FESTIVAL O B-RAKSHASA B-KINGDOM B-CITY O O O O O O	105	{'B-FESTIVAL': ['utsava'], 'B-KINGDOM': ['laṅkā'], 'B-CITY': ['purī']}	{'B-FESTIVAL': ['utsava'], 'B-CITY': ['laṅkā purī']}	{'B-CITY': ['laṅkā', 'purī']}	{'B-DEVA': ['puṇya'], 'B-FESTIVAL': ['utsava'], 'B-HUMAN': ['samṛddhā'], 'B-ASURA': ['naṣṭabhartrī'], 'B-CITY': ['laṅkā'],
iha nūnaṃ nacirād eva gṛhe gṛhe duḥkhārtānām rudantīnāṃ rākṣasakanyānāṃ dhvanim śroṣyāmi	O O O O B-HOUSE B-HOUSE O O O O O	106	{'B-HOUSE': ['gṛhe', 'gṛhe'], 'B-RAKSHASA': ['rākṣasakanyānāṃ']}	{'B-RAKSHASA': ['rākṣasakanyānāṃ'], 'B-HOUSE': ['gṛhe']}	{'B-RAKSHASA': ['rākṣasakanyānāṃ'], 'B-HOUSE': ['gṛhe', 'gṛhe']}	{'B-LOCATION': ['iha'], 'B-ORGANISM': ['rākṣasakanyānāṃ'], 'B-LOCATION': ['gṛhe', 'gṛhe']}
laṅkā purī rāma sāyakaiḥ nirdagdhā hatadyotā sāndhakārā hatarākṣasapuṃgavā bhaviṣyati	B-KINGDOM B-CITY B-HUMAN B-ARROW O O O O O	107	{'B-CITY': ['laṅkā', 'purī'], 'B-ARROW': ['sāyakaiḥ'], 'B-RAKSHASA': ['hatarākṣasapuṃgavā']}	{'B-CITY': ['laṅkā purī'], 'B-HUMAN': ['rāma'], 'B-ARROW': ['sāyakaiḥ'], 'B-RAKSHASA': ['rākṣasapuṃgavā']}	{'B-CITY': ['laṅkā', 'purī'], 'B-RAKSHASA': ['hatarākṣasapuṃgavā']}	{'B-LOCATION': ['laṅkā', 'purī'], 'B-ORGANIZATION': ['rāma'], 'B-ANIMAL': ['rakṣasapuṃgava']}
yadi śūro raktāntalocanaḥ nāma sa rāmo māṃ rāvaṇasya niveśane vartamānāṃ hi jānīyād	O O O O O O O B-ASURA B-PALACE O O O	108	{'B-HUMAN': ['rāmo'], 'B-ASURA': ['rāvaṇasya'], 'B-PALACE': ['niveśane']}	{'B-RAKSHASA': ['rāvaṇasya'], 'B-HUMAN': ['rāmo']}	{}	{'B-DEVA': ['śūro', 'rāmo'], 'B-ASURA': ['rāvaṇa']}
anena nṛśaṃsena adhamena rāvaṇena yaḥ samayo me nirdiṣṭaḥ tu tasya kālo 'yam tu āgataḥ	O O O B-ASURA O O O O O O O O O O	109	{'B-ASURA': ['rāvaṇena']}	{'B-RAKSHASA': ['rāvaṇena']}	{}	{'B-DEVA': ['anena'], 'B-HUMAN': ['nṛśaṃsena'], 'B-ASURA': ['rāvaṇena']}
