ID	QUESTION	ANSWER	CHOICES	gpt-4o	llama-v3p1-405b-instruct	gpt-4o-mini	llama-v3p1-8b-instruct
60	कर्पूरहरिद्रयोः गन्धः केन तुल्यः अस्ति?	आम्रेण; आम्रगन्धिः		चन्दनस्य	मधुकरेण	चन्दनम्	गन्धेन सुगन्धिनः
61	सुरभीदारु एतेषु कस्य पर्यायः अस्ति?	कर्पूरहरिद्रायाः	दारूहरिद्रायाः / हरिद्रायाः / कर्पूरहरिद्रायाः / तेजोहवायाः	दारूहरिद्रायाः	दारूहरिद्रायाः	दारूहरिद्रायाः	हरिद्रायाः
62	कुष्ठवातास्त्रनाशनः एतेषु कस्य गुणः अस्ति?	अरण्यहरिद्रायाः	कर्पूरहरिद्रायाः / हरिद्रायाः / अरण्यहरिद्रायाः / दारूहरिद्रायाः	दारूहरिद्रायाः	दारूहरिद्रायाः	हरिद्रायाः	कर्पूरहरिद्रायाः
63	दारूहरिद्रा एतेषु कस्य पर्यायः अस्ति?	सर्वेषाम्	पर्जन्यायाः / कटङ्कटेर्याः / पचम्पचायाः / सर्वेषाम्	कटङ्कटेर्याः	सर्वेषाम्	कटङ्कटेर्याः	पचम्पचायाः
64	निशागुणा किन्तु नेत्र कर्णास्यरोगनुत् अत्र कस्य विषये उक्तम् अस्ति?	अरण्यहरिद्रायाः	हरिद्रायाः / दारूहरिद्रायाः / अरण्यहरिद्रायाः / कर्पूरहरिद्रायाः	हरिद्रायाः	दारूहरिद्रायाः	दारूहरिद्रायाः	अरण्यहरिद्रायाः
65	...... तत् नेत्रयोः परं हितम्। कस्य विषये उक्तम् अस्ति?	रसाञ्जनस्य	मुद्गस्य / रसाञ्जनस्य / गृञ्जनस्य / आमलकस्य	रसाञ्जनस्य	आमलकस्य	आमलकस्य	आमलकस्य
66	तार्क्ष्यशैलं, रसगर्भः, तार्क्ष्यजं च कस्य पर्यायाः सन्ति?	रसाञ्जनस्य	रसाञ्जनस्य / हरिद्रायाः / शिलाजीतः / मुक्ताशुक्त्याः	शिलाजीतः	शिलाजीतः	शिलाजीतः	शिलाजीतः
67	बाकुची अधोलिखितेषु कस्य पर्यायः अस्ति?	सर्वेषाम्	सोमराज्याः / कालमेष्याः / शशिलेखायाः / सर्वेषाम्	कालमेष्याः	सर्वेषाम्	कालमेष्याः	सोमराज्याः
68	बाकुची अधोलिखितेषु कस्य पर्यायः नास्ति?	भद्रवत्याः	पूतिफल्याः / कालमेष्याः / भद्रवत्याः / अवल्गुजस्य	कालमेष्याः	अवल्गुजस्य	भद्रवत्याः	अवल्गुजस्य
69	मेषलोचनः अधोलिखितेषु कस्य पर्यायः अस्ति?	चक्रमर्दस्य	कुष्ठस्य/ चक्रमर्दस्य / कासमर्दस्य / मेषश्रृङ्ग्याः	मेषश्रृङ्ग्याः	मेषश्रृङ्ग्याः	कुष्ठस्य	मेषलोचनः कुष्ठस्य पर्यायः अस्ति
70	चक्रमर्दः अधोलिखितेषु कस्य पर्यायः अस्ति?	सर्वेषाम्	प्रपुन्नाटस्य / द्रद्रुघ्नस्य / एडगजस्य / सर्वेषाम्	प्रपुन्नाटस्य	सर्वेषाम्	द्रद्रुघ्नस्य	प्रपुन्नाटस्य
71	अतिविषा अधोलिखितेषु कस्य पर्यायः न अस्ति?	सोमराज्याः	विश्वायाः / शुक्लकन्दायाः / घुणवल्लभायाः / सोमराज्याः	सोमराज्याः	सोमराज्याः	सोमराज्याः	अतिविषा
72	अतिविषा अधोलिखितेषु कस्य पर्यायः अस्ति?	सर्वेषाम्	श्रृंग्याः / अरुणयाः / भङ्गुरायाः / सर्वेषाम्	श्रृंग्याः	सर्वेषाम्	अरुणयाः	अतिविषा अधोलिखितेषु कस्य पर्यायः अस्ति? श्रृंग्याः
73	भावप्रकाशेन लोध्रस्य कति प्रकाराः उक्ताः?	२; द्वौ		द्वौ प्रकारौ	चत्वारः	अस्मिन विषये त्रयः प्रकाराः उक्ताः	चतुरः
74	स्थूलवल्कलः अधोलिखितेषु कस्य पर्यायः अस्ति?	लोध्रस्य	अर्जुनस्य / खदिरस्य / लोध्रस्य / पीपलस्य	लोध्रस्य	लोध्रस्य	अर्जुनस्य	अर्जुनस्य
75	जीर्णपत्रं, बृहत्पत्रं, क्रमुकं, लाक्षाप्रसादनं च कस्य पर्यायाः सन्ति?	पट्टिका-लोध्रस्य; पट्टिकालोध्रस्य		तमालपत्रस्य	कटुकी	ऋषभस्य	अस्थिमध्ये
76	लशुनं अधस्तनेषु कस्य पर्यायः अस्ति?	सर्वेषाम्	उग्रगन्धस्य / महौषधस्य / म्लेच्छकन्दस्य / सर्वेषाम्	म्लेच्छकन्दस्य	सर्वेषाम्	उग्रगन्धस्य	म्लेच्छकन्दस्य
77	लशुने कः रसः न अस्ति?	अम्लः; आम्लः		कटुरसः	मधुरः	कषायः	तिक्त
81	पलाण्डुः निम्नेषु कस्य पर्यायः अस्ति?	यवनेष्टस्य	यवनेष्टस्य / अरिष्टस्य / उग्रगन्धस्य / रसोनकस्य	उग्रगन्धस्य	रसोनकस्य	यवनेष्टस्य	अरिष्टस्य
82	पलाण्डुः निम्नेषु कस्य पर्यायः अस्ति?	सर्वेषाम्	मुखदूषकस्य / दुर्गन्धस्य / यवनेष्टस्य / सर्वेषाम्	दुर्गन्धस्य	सर्वेषाम्	मुखदूषकस्य	मुखदूषकस्य
83	अरूष्करः निम्नेषु कस्य पर्यायः अस्ति?	भल्लातकस्य	चित्रकस्य / भल्लातकस्य / दन्त्याः / मञ्जिष्ठायाः	चित्रकस्य	दन्त्याः	चित्रकस्य	अरूष्करः चित्रकस्य पर्यायः अस्ति
84	अग्निमुखी, क्षीरवृक्षः, शोफकृत् कस्य पर्यायाः सन्ति?	भल्लातकस्य; भल्लातकः		अरिष्टस्य	अग्निमुखी, क्षीरवृक्षः, शोफकृत् एरंडस्य पर्यायाः सन्ति |	पञ्चकर्मस्य	अग्निमुखी = पिप्पली, क्षीरवृक्षः = पलाश, शोफकृत् = कासाः
85	भल्लातकस्य कः भागः केश्यः (केशेभ्यः हितकरः) अस्ति?	वृन्तम्		बीजः	तैलम्	पत्त्राणि	अम्लः
86	मोहमदवाग्वह्निवर्धिनी निम्नेषु कस्य गुणः अस्ति?	भङ्गायाः	मद्यस्य / भङ्गायाः / आफूकस्य / धत्तूरस्य	मद्यस्य	मद्यस्य	धत्तूरस्य	मद्यस्य
87	आफूकस्य वर्णनं कस्य ग्रन्थे लभ्यते?	वाग्भट्टस्य ; भावप्रकाशस्य	वाग्भट्टस्य / शारंगधरस्य / भावप्रकाशस्य	भावप्रकाशस्य	वाग्भट्टस्य	शारंगधरस्य	वाग्भट्टस्य
88	खाखसस्य कस्मात् भागात् आफूकः निष्पद्यते? 	फलस्य क्षीरात्		बीजः	मूलभागात्	क्षेत्रात्	पक्वान्नात्
90	शीतशिवः एतेषु कस्य पर्यायः अस्ति?	सैन्धवस्य	धत्तूरस्य / सैन्धवस्य / भङ्गायाः/ अहिफेनस्य	धत्तूरस्य	अहिफेनस्य	धत्तूरस्य	शीतशिवः एतेषु कस्य पर्यायः अस्ति? अहिफेनस्य
91	भावप्रकाशः सैन्धवस्य वर्णनं कस्मिन् वर्गे कृतवान्?	हरीतक्यादौ;  हारीतक्यादिवर्गे		लवणवर्गे	लवणवर्गे	सिद्धान्तवर्गे	अष्टाङ्गहृदये
94	उर्ध्वाधः कफवातानुलोमनं कस्य लवणस्य गुणः अस्ति?	बिडस्य	सैन्धवस्य / सामुद्रस्य / बिडस्य / सौवर्चलस्य	सैन्धवस्य	सैन्धवस्य	सैन्धवस्य	सैन्धवस्य
95	कः पाशुलवणम् उच्यते?	औद्भिद्लवणम्	सामुद्रलवणम् / औद्भिद्लवणम् / बिडः / सौवर्चलः	बिडः	बिडः	सौवर्चलः	सामुद्रलवणम्
96	भावप्रकाशे कति प्रकाराणां लवणानां वर्णनं कृतम् अस्ति?	६; षट्		शट्	पञ्च	द्वि प्रकाराणां लवणानां वर्णनं कृतम् अस्ति	अष्टोत्तरशतशास्त्रे
97	धातुद्रावकः कः क्षारः अस्ति?	टङ्कणः		क्षारः	यवक्षारः	कर्दमः	शुद्धलवणः
98	भावप्रकाशे कति क्षारसमूहानां वर्णनं कृतम्?	सर्वेषाम्	क्षारद्वयस्य / क्षारत्रयस्य / क्षाराष्टकस्य / सर्वेषाम्	क्षाराष्टकस्य	क्षाराष्टकस्य	क्षमात्रयस्य	क्षाराष्टकस्य
101	चन्द्रसंज्ञ एतेषु कस्य पर्यायः अस्ति?	कर्पूरस्य	कर्पूरस्य / मिश्र्याः / लवणस्य / पूतिकायाः	कर्पूरस्य	कर्पूरस्य	कर्पूरस्य	मिश्र्याः
102	कस्तूरी एतेषु कस्य पर्यायः अस्ति?	सर्वेषाम्	वेदमुख्यायाः / मृगमदस्य / सहस्रभिदः / सर्वेषाम्	मृगमदस्य	मृगमदस्य	मृगमदस्य	मृगमदस्य
103	कस्तूर्याः कति प्रकाराः उक्ताः?	३; षट्		षट्	चत्वारः	त्रीणि	कस्तूर्याणां पञ्च प्रकाराणि विद्यन्ते
105	भद्रश्री कस्य पर्यायः अस्ति?	चन्दनस्य	हरिद्रायाः / एलायाः / चन्दनस्य / कुङ्कुमस्य	चन्दनस्य	हरिद्रायाः	हरिद्रायाः	हरिद्रायाः
106	कालीयकं कीदृशं चन्दनम् अस्ति?	पीतम्		चन्दनविशेषः	गुरु	गन्धयुक्तम्	कालीयकं सुगंधितं चन्दनम् अस्ति
107	पट्टरञ्जकः कस्य पर्यायः अस्ति?	पतङ्गस्य		हरिद्रा	मञ्जिष्ठा	कफपित्तशामकः	पट्टिका
108	किं चन्दनं श्रेष्ठं भवति?	मलयगिरि; मलयजचंदनम्; मलयजम्		श्वेतचन्दनम्	मलयचंदनम्	गन्धः	अरिष्टं
109	अगुरूः कस्य पर्यायः अस्ति?	सर्वेषााम्	प्रवरस्य / राजार्हस्य / कृमिजग्धस्य / सर्वेषाम्	राजार्हस्य	अगुरूः राजार्हस्य पर्यायः अस्ति	राजार्हस्य	कृमिजग्धस्य
110	कस्य वर्णस्य अगुरूः श्रेष्ठः अस्ति?	श्वेतः	श्वेतः / रक्तः / कृष्णः / पीतः	कृष्णः	कृष्णः	श्वेतः	श्वेतः
111	इन्द्रदारूः कस्य पर्यायः अस्ति?	देवदारूः; देवदारोः	देवदारूः / दारूहरिद्रा / रोहितकः / मञ्जिष्ठा	दारूहरिद्रा	देवदारूः	देवदारूः	देवदारूः
112	देवदारू एतेषु कस्य पर्यायः न अस्ति?	सुरभि दारूः; सुरभिदारूः	मस्तदारूः / दारूभद्रः / दारूः / सुरभि दारूः	सुरभि दारूः	दारूः	सुरभि दारूः	दारूभद्रः
115	गुग्गुलुः कस्य पर्यायः न अस्ति?	कृमिजग्धस्य	जटायोः / महिषाक्षस्य / पलन्कषस्य / कृमिजग्धस्य	कृमिजग्धस्य	महिषाक्षस्य	जटायोः	जटायः
116	गुग्गुलुसेवनेन सह किम् अहितकरं नास्ति?	दुग्धम्	दुग्धम् / मद्यं / अम्लपदार्थः / मैथुनम्	दुग्धम्	मद्यं	मद्यं	अम्लपदार्थः
120	लवङ्गः निम्नलिखितेषु कस्य पर्यायः अस्ति?	श्रीफलस्य	देवकुसुमस्य / श्रीप्रसूनकस्य / श्रीसंज्ञस्य / श्रीफलस्य	श्रीफलस्य	लवङ्गः देवकुसुमस्य पर्यायः अस्ति	श्रीफलस्य	श्रीफलस्य
121	एला निम्नलिखितेषु कस्य पर्यायः अस्ति?	सर्वासाम्	बृहदेलायाः / भद्वैलायाः / स्थूलैलायाः / सर्वासाम्	सर्वासाम्	सर्वासाम्	सर्वासाम्	स्थूलैला
122	एला निम्नलिखितेषु कस्य पर्यायः नास्ति?	भद्रश्रियः	बहुलायाः / पृथ्विकायाः / भद्रश्रियः / निष्कुट्याः	बहुलायाः	पृथ्विकायाः	निष्कुट्याः	पृथ्विकायाः
123	सूक्ष्म-एला निम्नलिखितेषु कस्य पर्यायः नास्ति?	पृथ्वीकायाः	उपकुन्चिकायाः / तुत्थायाः / द्राविड्यः / पृथ्वीकायाः	तुत्थायाः	पृथ्वीकायाः	द्राविड्यः	पृथ्वीकायाः
124	दारूसिता निम्नलिखितेषु कस्य पर्यायः?	त्वक्	देवदारु / त्वक् / दारूहरिद्रा / तेजपत्र	दारूहरिद्रा	दारूहरिद्रा	देवदारु	दारूसिता का पर्याय देवदारु है
125	नागकेशरः निम्नलिखितेषु कस्य पर्यायः नास्ति?	नागफलस्य	चाम्पेयस्य / नागपुष्पस्य / नागफलस्य / काञ्चनाह्वयस्य	नागफलस्य	नागफलस्य	काञ्चनाह्वयस्य	नागकेशरः नागपुष्पस्य पर्यायः नास्ति
127	क्व उत्पन्नः केशरः उत्तमः मन्यते?	काश्मीरे; काश्मीरदेशे; कश्मीरे; कश्मीरदेशे		काश्मीरे कोशातकिः उत्तमः मन्यते	काश्मीरे	जम्मू	काश्मीरे
128	गोरोचनः निम्नलिखितेषु कस्य पर्यायः अस्ति?	वन्द्यायाः	वन्द्यायाः / काश्मीरस्य / वाहीकस्य / चाम्पेयस्य	काश्मीरस्य	गोरोचनः चाम्पेयस्य पर्यायः अस्ति	वाहीकस्य	वाहीकस्य
130	जटामांसी निम्नेषु कस्य पर्यायः अस्ति?	सर्वेषाम्	भूतजटायाः / तपस्विन्याः / पारसीकस्य / सर्वेषाम्	भूतजटायाः	सर्वेषाम्	भूतजटायाः	भूतजटायाः
131	गुन्द्रा निम्नेषु कस्य पर्यायः अस्ति?	मुस्तायाः	गुजायाः / मुस्तायाः / गोरोचनायाः / कुङ्कुमस्य	मुस्तायाः	गोरोचनायाः	गुजायाः	गोरोचनायाः
132	कर्पूरः निम्नेषु कस्य पर्यायः अस्ति?	सर्वेषाम्	वेधमुख्यस्य / द्राविडस्य / कल्पकस्य / सर्वेषाम्	द्राविडस्य	सर्वेषाम्	वेधमुख्यस्य	वेधमुख्यस्य
133	षड्ग्रन्था निम्नेषु कस्य पर्यायः अस्ति?	शठ्याः	शठ्याः / एलायाः / अतिविषायाः / रसोनस्य	अतिविषायाः	एलायाः	रसोना	अतिविषायाः
134	पत्राढ्यं धात्रीपत्रं च कस्य पर्यायौ स्तः?	तालीसपत्रस्य; तालीसम्; तालीसस्य		तुलसीकस्य	आमलकस्य	अद्रकस्य	अमलकं, पुनर्नवम्
135	इन्द्रेण वानराणां प्रति कृतामृतवर्षायाः बिन्दवः पृथ्व्यां पतनतः कस्य द्रव्यस्य उत्पत्तिः मता अस्ति?	गुडूच्याः	गुडूच्याः / लशुनस्य / आमलक्याः / शतावर्याः	गुडूच्याः	आमलक्याः	आमलक्याः	गुडूच्या
136	मधुपर्णी निम्नेषु कस्य पर्यायः अस्ति?	अमृतायाः	दालचिन्याः / अमृतायाः / एलायाः / तेजपत्रस्य	तेजपत्रस्य	मधुपर्णी तेजपत्रस्य पर्यायः अस्ति	तेजपत्रस्य	दालचिन्याः
137	गुडूची निम्नेषु कस्य पर्यायः नास्ति?	कश्चिन्न	अमृतवल्लर्याः / छिन्नरुहायाः / सोमवल्ल्याः / कश्चिन्न	कश्चिन्न	कश्चिन्न	कश्चिन्न	अमृतवल्लर्याः
138	गुडूची निम्नेषु कस्य पर्यायः अस्ति?	सर्वेषाम्	वत्सादन्याः / तन्त्रिकायाः / चक्रलक्षणिकायाः / सर्वेषाम्	वत्सादन्याः	सर्वेषाम्	सर्वेषाम्	गुडूची तन्त्रिकायाः पर्यायः अस्ति
139	ताम्बूलस्य वर्णनं भावप्रकाशे कस्मिन् वर्गे लभ्यते?	गुडूच्यादौ	हरिद्रादौ / गुडूच्यादौ / रसोनादौ / सर्वत्र	गुडूच्यादौ	हरिद्रादौ	सर्वत्र	हरिद्रादौ
140	श्रीफलः कस्य पर्यायः अस्ति?	बिल्वस्य	धत्तूरस्य / बिल्वस्य / भङ्गायाः / लवङ्गस्य	धत्तूरस्य	बिल्वस्य	बिल्वस्य	बिल्वस्य
141	गम्भारी कस्य पर्यायः नास्ति?	सोमवल्ल्याः	सोमवल्ल्याः / मधुपर्णिकायाः / पीतरोहिण्याः / काश्मर्याः	सुमधुपर्णिकायाः	मधुपर्णिकायाः	सोमवल्ली	गम्भारी कस्य पर्यायः नास्ति सोमवल्ल्याः
142	गणिकारीका कस्य पर्यायः अस्ति?	अग्निमन्थस्य		आरग्वधः	गणिकारीका पर्यायः वेश्या अस्ति	वेश्या	अष्टांग
143	बृहत्पञ्चमूलस्य वर्णनं भावप्रकाशस्य कस्मिन् प्रकरणे कृतम्?	गुडूच्यादिवर्गे		प्रथमखण्डे	हरितक्यादिवर्गे	आरोग्यप्रकरणे	अष्टाङ्गहृदये
146	गोक्षुरः कस्य पर्यायः नास्ति?	दुःस्पर्शायाः	पलङ्कषायाः / श्वदंष्ट्रायाः / इक्षुगन्धिकायाः / दुःस्पर्शायाः	इक्षुगन्धिकायाः	इक्षुगन्धिकायाः	पलङ्कषायाः	इक्षुगन्धिकायाः
147	दशमूलस्य वर्णनं भावप्रकाशे कुत्र अस्ति?	गुडूच्यादिवर्गे; चतुर्थः अध्यायः; चतुर्थः अध्यायः ४९ श्लोकः; चतुर्थाध्यायः; चतुर्थे; चतुर्थेऽध्याये		पूर्वभागे	दशमूलस्य वर्णनं भावप्रकाशे हरितक्यादिवर्गे अस्ति	भावप्रकाशस्य दशमूलविवरणं तस्मिन् तृतीयभागे अस्ति	अष्टांगहृदये
151	भावप्रकाशे शुक्लं रक्तं चेत्येतौ कस्य भेदौ उक्तौ?	एरण्डस्य ; स्नुह्याः	एरण्डस्य / स्नुह्याः / अर्कस्य / १-२	अर्कस्य	एरण्डस्य	एरण्डस्य, स्नुह्याः	एरण्डस्य
153	भक्षितं विषवन्मतम् कस्य विषये उक्तम्?	करवीरस्य	अर्कस्य / स्नूह्याः / कलिहार्याः / करवीरस्य	अर्कस्य	करवीरस्य	करवीरस्य	कलिहार्याः
154	मातुलपुत्रकः कस्य फलं कथ्यते?	धत्तूरस्य		नारङ्गफलम्	मातुलपुत्रकः आमलकफलस्य फलं कथ्यते |	पित्तस्य	मातुलपुत्रकः पितृपक्षे पितृभक्त्या फलं कथ्यते
155	हिङ्गुनिर्यासः कस्य पर्यायः अस्ति?	निम्बस्य		हिङ्गु	हिङ्गुनिर्यासः असafcasya पर्यायः अस्ति	आमोदार्थम्	पित्ते
156	निम्बः एतेषु कस्य पर्यायः अस्ति?	सर्वेषाम्	पारिभद्रस्य / पिचुमर्दस्य / अरिष्टस्य / सर्वेषाम्	अरिष्टस्य	सर्वेषाम्	सर्वेषाम्	निम्बः सर्वेषाम्
157	विषमुष्टिकः केशमुष्टिकः च कस्य पर्यायौ स्तः?	महानिम्बस्य		कडुलसस्य	इन्द्रवल्ली	सर्वगुण-परिवर्तकः	अम्लपित्तस्य
159	गण्डारिः एतेषु कस्य पर्यायः अस्ति?	काञ्चनारस्य	काञ्चनारस्य / पारिभद्रस्य / गुग्गुलस्य / मधुयष्ट्याः	पारिभद्रस्य	काञ्चनारस्य	गुग्गुलस्य	गण्डारिः काञ्चनारस्य पर्यायः अस्ति
160	भावप्रकाशेन शिग्रोः कति भेदाः उक्ताः?	३; षट्		त्रयः	चत्वारः	द्विविधानि	अष्टादश
162	भावप्रकाशानुसारं विष्णुक्रान्ता एतेषु कस्य पर्यायः अस्ति?	अपराजितायाः	शङ्खपुष्प्याः / अपराजितायाः / ब्राह्म्याः / गुडूच्याः	अपराजितायाः	अपराजितायाः	ब्राह्म्याः	अपराजितायाः
163	कुटजः एतेषु कस्य पर्यायः नास्ति?	सिन्दुवारस्य	गिरिमल्लिकायाः / कालिङ्गस्य / सिन्दुवारस्य / पाण्डुरद्रुमस्य	कालिङ्गस्य	सिन्दुवारस्य	गिरिमल्लिकायाः	कुटजः
165	आत्मगुप्ता मर्कटी दुःस्पर्शा च कस्य पर्यायाः सन्ति?	कपिकच्छोः		हरिद्राया:	कपिकच्छु	मार्जारस्य	अरिष्टा
166	तत् बीजं वातशमनं स्मृतं वाजीकरणं परम्। कस्य विषये उक्तम्? 	कपिकच्छोः		अश्वगन्धानां	माषबीजस्य	वातदोषस्य	अस्थि विषये
167	मूषकसर्पयोः विषनाशकं द्रव्यं किम्?	अड्कोटः; अङ्कोटः; अङ्कोटकः		सर्पगन्धा	अग्निमन्थः	गौटिकम्	अमलक
169	पुत्रदाऽवश्यम् (अवश्यं पुत्रं ददाति) इति किं द्रव्यम् अस्ति?	लक्ष्मणा		न	पुत्रजीवकम्	आम्लबिजम्	अश्वगन्धा
170	लक्ष्मणायाः गन्धः केन समम् अस्ति?	बस्तगन्धेन; वस्तगन्धः		लक्ष्मणायाः गन्धः वेणुमूलगन्धेन समम् अस्ति	नाना	गंधकृत्	श्री गणेशाय नमः
173	कः त्रिवृत् हीनगुणवत् अस्ति? 	कृष्णः		कासीसः	अम्लः	कर्काटिकः	अरिष्ट
174	प्लीहशत्रुः निम्नलिखितेषु कस्य पर्यायः अस्ति?	शरपुंखायाः	रोहितकस्य / शरपुंखायाः / पुनर्नवायाः / गिलोयस्य	पुनर्नवायाः	पुनर्नवायाः	रोहितकस्य	प्लीहशत्रुः का है ?
175	अधःशल्यः निम्नलिखितेषु कस्य पर्यायः अस्ति?	अपामार्गस्य	त्रिवृतः / गोक्षुरस्य / अपामार्गस्य / अमलतासस्य	अपामार्गस्य	अपामार्गस्य	अपामार्गस्य	अधःशल्यः = त्रिवृतः
176	केशरञ्जनः निम्नलिखितेषु कस्य पर्यायः अस्ति?	भृङगराजस्य; भृङ्गराजस्य	अरिष्टकस्य / सातलायाः / भृङगराजस्य/ मञ्जिष्ठायाः	भृङगराजस्य	मञ्जिष्ठायाः	भृङगराजस्य	मञ्जिष्ठा
177	महौषधी निम्नलिखितेषु कस्य पर्यायः अस्ति?	मण्डूकपर्ण्याः	श्रृंगवेरस्य / मण्डूकपर्ण्याः / गिलोयस्य / आमलक्याः	गिलोयस्य	गिलोयस्य	गिलोयस्य	अमलतास्य
178	पुष्पवर्गे सर्वप्रथमं कस्य द्रव्यस्य वर्णनं कृतम् अस्ति?	कमलस्य	कमलस्य / गुलाबस्य / चमेल्याः / जूह्याः	कमलस्य	कमलस्य	कमलस्य	कमलस्य
179	तुलसी निम्नलिखितेषु कस्य पर्यायः अस्ति?	सर्वेषाम्	बहुमञ्जर्याः / अपेतराक्षस्याः / भूतघ्न्याः / सर्वेषाम्	सर्वेषाम्	सर्वेषाम्	सर्वेषाम्	अपेतराक्षस्याः
180	देवदुन्दुभिः निम्नलिखितेषु कस्य पर्यायः अस्ति?	तुलस्याः	धतूरस्य / कर्पूरस्य / तुलस्याः / पीपलस्य	धतूरस्य	धतूरस्य	धतूरस्य	देवदुन्दुभिः = धतूरस्य
184	गर्भपातनः निम्नलिखितेषु कस्य पर्यायः अस्ति?	अरिष्टकस्य	अरिष्टकस्य / लाङ्गल्याः / टङ्कणस्य / उलट्कालिकस्य	लाङ्गल्याः	लाङ्गल्याः	उलट्कालिकस्य	अरिष्टकस्य
186	मोचरसः निम्नेषु कस्य निर्यासः अस्ति?	शाल्मल्याः	शाल्मल्याः / श्ल्लक्याः / गुञ्जुलस्य / शिग्रोः	शाल्मल्याः	शाल्मल्याः	गुञ्जुलस्य	शाल्मल्याः
187	सुमेलयतु i. स्थूलवल्कलम्       1. सप्तपर्णम्  ii. बहुलवल्कलम्      2. भूर्जपत्रम्  iii. विशालत्वक्      3. कट्फलः  iv. सोमवल्कलम्        4. लोध्रम्	i-4, ii-2, iii-1, iv-3	i-1, ii-2, iii-3, iv-4 / i-2, ii-1, iii-3, iv-4 / i-4, ii-2, iii-1, iv-3	i-1, ii-2, iii-3, iv-4	i-2, ii-1, iii-3, iv-4	i-2, ii-1, iii-3, iv-4	i-2, ii-1, iii-3, iv-4
188	सुमेलयतु - i. आमाम्रफलम्      1. वातहरम् श्लेष्मशुक्रवर्धनम् ii. शुष्कामाम्र फल    2. वातहरम् पित्तप्रकोपनम्  iii. पक्वाम्रफलम्       3. वातपित्तकृत्  iv. वृक्षपक्वाम्रफलम्  4. कफवातजित्	i-3, ii-4, iii-1, iv-2	i-3, ii-1, iii-4, iv-2 / i-1, ii-2, iii-3, iv-4 / i-1, ii-3, iii-4, iv-2 / i-3, ii-4, iii-1, iv-2	i-1, ii-2, iii-3, iv-4	i-1, ii-2, iii-3, iv-4	i-1, ii-2, iii-4, iv-3	i-1, ii-2, iii-4, iv-2
190	आम्रावर्तः कस्मात् भागात् भवति?	आम्ररसात्	आम्ररसात् / आम्रत्वचः / आम्रफलात् / आम्रपुष्पात्	आम्ररसात्	आम्रफलात्	आम्रफलात्	आम्रफलात्
192	अशुमतीफलं निम्नेषु कस्य पर्यायः अस्ति?	कदल्याः	कदल्याः / आम्रस्य / नारिकेलस्य / कालिन्दसस्य	कदल्याः	कदल्याः	कदल्याः	कदल्याः
193	सुमेलयतु - i. कण्टकारीफलम्           1. कदलीफलम्  ii. अंशुमतीफलम्       2. त्रपुसः  iii. अतिबृहत् फलम्    3. नारिकेलः iv. स्कन्धफलम्         4. कट्फलः	i-2, ii-1, iii-4, iv-3	i-2, ii-1, iii-4, iv-3 / i-1, ii-2, iii-3, iv-4 / i-1, ii-3, iii-4, iv-2 / i-3, ii-4, iii-2, iv-1	i-3, ii-4, iii-2, iv-1	i-1, ii-2, iii-3, iv-4	i-1, ii-3, iii-4, iv-2	i-1, ii-2, iii-3, iv-4
194	दशाङ्गुलं निम्नेषु कस्य पर्यायः अस्ति?	खर्बूजस्य	कदलीफलस्य / पनसस्य / कालिन्दसस्य / खर्बूजस्य	खर्बूजस्य	कदलीफलस्य	खर्बूजस्य	कदलीफलस्य
195	किं फलं शुष्कम् एव श्रेष्ठम् अस्ति?	सर्वेषाम्	द्राक्षायाः / बिल्वस्य / हरितक्याः / सर्वेषाम्	सर्वेषाम्	हरितक्याः	द्राक्षायाः	द्राक्षायाः
196	पुष्पफलं तथा दधिफलं कस्य पर्यायौ स्तः?	कपित्थफलस्य; कपित्थस्य		मोचीकस्य	दाडिमस्य	पुष्टिः	अमृतफलं
201	द्राक्षायाः आकारः कः अस्ति?	गोस्तनसमः	गोमुखसमः / गोस्तनसमः / गोखुरसदृशः  / गवां वर्णेन समानम्	गोमुखसमः	गोस्तनसमः	गोमुखसमः	गोमुखसमः
202	खर्जूरः अधस्तनेषु कस्य पर्यायः अस्ति?	सर्वेषाम्	स्वल्पखर्जूरस्य / पिण्डखर्जूरस्य / स्रोतःखर्जूरस्य / सर्वेषाम्	स्वल्पखर्जूरस्य	सर्वेषाम्	स्वल्पखर्जूरस्य	स्वल्पखर्जूरस्य
203	सुलेमानी कस्य पर्यायः अस्ति?	पिण्डखर्जूरस्य		शिलाजतु:	रौप्यम्	मधु	अमृत
204	नेत्रोपमफलं कस्य पर्यायः अस्ति?	वातदस्य; वातादः		आमलकी	अमलकम्	पलांबूण्डि	अमलतास्य
205	मुष्टिप्रमाणं बदरं च कस्य फलस्य नामनी इति? 	सेवस्य; सेवम्		कपित्थम्	इक्षोः	बदरी फलस्य	अमृतफलस्य
209	किं फलं शुष्कम् अधिकगुणकरम् अस्ति?	सर्वे	बिल्वः / द्राक्षाः / हरीतकी / सर्वे	द्राक्षाः	हरीतकी	हरीतकी	बिल्वः
210	कपिप्रियः, दधिफलम्, दन्तराठः च कस्य पर्यायाः सन्ति?	कपित्थस्य		अनारस्य	दाडिमस्य	गुदुच्चीः	अमृतारिष्ट, शहदफलम्, दन्तपुष्पम्
211	त्वक्सुगन्धः मुखप्रियश्च कस्य पर्यायौ स्तः?	नारङ्गिकायाः		दालचिनी	दालचिनी	चन्दनम्	तैल
