ID	QUESTION	ANSWER	CHOICES	context_0	gpt-4o
217	अग्निदेवस्य वीर्यात् कः धातुः उत्पन्नः?	स्वर्णम्		अवल्गुजो वाकुची स्यात्सोमराजी सुपर्णिका     शशिलेखा कृष्णफला सोमा पूतिफलीति च २.२०६     सोमवल्ली कालमेषी कुष्ठघ्नी च प्रकीर्त्तिता     बाकुची मधुरा तिक्ता कटुपाका रसायनी २.२०७     विष्टम्भहृद्धिमा रुच्या सरा श्लेष्मास्रपित्तनुत्     रूक्षा हृद्या श्वासकुष्ठमेहज्वरकृमिप्रणुत् २.२०८     तत्फलं पित्तलं कुष्ठकफानिलहरं कटु     केश्यं त्वच्यं कृमिश्वासकासशोथामपाण्डुनुत् २.२०९     चक्रमर्दः प्रपुन्नाटो दद्रुघ्नो मेषलोचनः     पद्माटः स्यादेडगजश्चक्री पुन्नाट इत्यपि २.२१०     चक्रमर्दो लघुः स्वादू रूक्षः पित्तानिलापहः     हृद्यो हिमः कफश्वासकुष्ठदद्रुकृमीन्हरेत् २.२११     हन्त्युष्णं तत्फलं कुष्ठकण्डूदद्रुविषानिलान्     गुल्मकासकृमिश्वासनाशनं कटुकं स्मृतम् २.२१२     विषा त्वतिविषा विश्वा शृङ्गी प्रतिविषाऽरुणा     शुक्लकन्दा चोपविषा भङ्गुरा घुणवल्लभा २.२१३     विषा सोष्णा कटुस्तिक्ता पाचनी दीपनी हरेत्     कफपित्तातिसारामविषकासवमिकृमीन् २.२१४	अग्निदेवस्य वीर्यात् **सोम** धातुः उत्पन्नः
218	कृत्रिमस्वर्णस्य उत्पत्तिः कस्मात् द्रव्यात् भवति?	पारदस्य वेधनात्	हिङ्गुलात् / पारदस्य वेधनात् / शिलाजतोः / स्वर्णमाक्षिकात्	ध्मायमानस्य लोहस्य मलं मण्डूर मुच्यते     लोहसिंहानिका किट्टी सिंहानञ्च निगद्यते     यल्लोहं यद्गुणंप्रोक्तं तत्किट्टमपि तद्गुणम् ८.५२     सप्तोपधातवः स्वर्णमाक्षिकं तारमाक्षिकं     तुत्थं कांस्यं च रीतिश्च सिन्दूरञ्च शिलाजतु ८.५३     उपधातुषु सर्वेषु तत्तद्धातुगुणा अपि     सन्ति किन्त्वेषु ते गौणास्तत्तदंशाल्पभावतः ८.५४     स्वर्णमाक्षिकमाख्यातं तापीजं मधुमाक्षिकम् ८.५५     ताप्यं माक्षिकधातुश्च मधुधातुश्च स स्मृतः     किञ्चित्सुवर्णं साहित्यात्स्वर्णमाक्षिकमीरितम् ८.५६     उपधातुः सुवर्णस्य किञ्चित्स्वर्णगुणान्वितम्     तथा च काञ्चनाभावे दीयते स्वर्णमाक्षिकम् ८.५७     किन्तु तस्यानुकल्पत्वात्किञ्चिदूनगुणास्ततः     न केवलं स्वर्णगुणा वर्त्तन्ते स्वर्णमाक्षिके ८.५८     द्र व्यान्तरस्य संसर्गात्सन्त्यन्येऽपि गुणा यतः     सुवर्णमाक्षिकं स्वादु तिक्तं वृष्यं रसायनम् ८.५९     चक्षुष्यं बस्तिरुक्कुष्ठपाण्डुमेहविषोदरान्     अर्शः शोथं विषं कण्डूं त्रिदोषमपि नाशयेत् ८.६०	स्वर्णमाक्षिकात्
221	ताम्रस्य उत्पत्तिः कथं भवति?	कार्तिकेयस्य वीर्येण		हरिद्रा कटुका तिक्ता रूक्षोष्णा कफपित्तनुत्     वर्ण्या त्वग्दोषमेहास्रशोथपाण्डुव्रणापहा २.१९७     दार्वी मेदाऽम्रगन्धा च सुरभीदारु दारु च     कर्पूरा पद्मपत्रा स्यात्सुरीमत्सुरतारका २.१९८     आम्रगंधिर्हरिद्रा या सा शीता वातला मता     पित्तहृन्मधुरा तिक्ता सर्वकण्डूविनाशिनी २.१९९     अरण्यहलदीकन्दः कुष्ठवातास्रनाशनः २.२००     दार्वी दारुहरिद्रा च पर्जन्या पर्जनीति च     कटङ्कटेरी पीता च भवेत्सैव पचम्पचा     सैव कालीयकः प्रोक्तस्तथा कालेयकोऽपि च २.२०१     पीतद्रुश्च हरिद्रुश्च पीतदारु च पीतकम्     दार्वी निशागुणा किन्तु नेत्र कर्णास्यरोगनुत् २.२०२     दार्वीक्वाथसमं क्षीरं पादं पक्त्वा यदा घनम्     तदा रसाञ्जनाख्यं तन्नेत्रयोः परमं हितम् २.२०३     रसाञ्जनं तार्क्ष्यशैलं रसगर्भश्च तार्क्ष्यजम्     रसाञ्जनं कटु श्लेष्मविषनेत्रविकारनुत् २.२०४     उष्णं रसायनं तिक्तं छेदनं व्रणदोषहृत् २.२०५     अवल्गुजो वाकुची स्यात्सोमराजी सुपर्णिका     शशिलेखा कृष्णफला सोमा पूतिफलीति च २.२०६     सोमवल्ली कालमेषी कुष्ठघ्नी च प्रकीर्त्तिता     बाकुची मधुरा तिक्ता कटुपाका रसायनी २.२०७	ताम्रः
222	ताम्रस्य अनुत्कृष्टभस्मनः कति दोषाः भवन्ति?	८		अग्निमन्थः श्वयथुनुद्वीर्योष्णः कफवातहृत्     पाण्डुनुत्कटुकस्तिक्तस्तुवरो मधुरोऽग्निदः ४.२४     श्योनाकः शोषणश्च स्यान्नटकट्वङ्गटुण्टुकाः     मण्डूकपर्णपत्रोर्णशुकनासकुटन्नटाः ४.२५     दीर्घवृन्तोऽरलुश्चापि पृथुशिम्बः कटम्भरः     श्योनाको दीपनः पाके कटुकस्तुवरो हिमः     ग्राही तिक्तोऽनिलश्लेष्मपित्तकासप्रणाशनः ४.२६     टुण्टुकस्य फलं बालं रूक्षं वातकफापहम् ४.२७     हृद्यं कषायं मधुरं रोचनं लघु दीपनम्     गुल्मार्शःकृमिहृत् प्रौढं गुरु वातप्रकोपणम् ४.२८     श्रीफलः सर्वतोभद्रा पाटला गणिकारिका     श्योनाकः पञ्चभिश्चैतैः पञ्चमूलं महन्मतम् ४.२९     पञ्चमूलं महत् तिक्तं कषायँ कफवातनुत्     मधुरं श्वासकासघ्नमुष्णं लघ्वग्निदीपनम् ४.३०     शालपर्णी स्थिरा सौम्या त्रिपर्णी पीवरी गुहा     विदारिगन्धा दीर्घाङ्गी दीर्घपत्रांऽशुमत्यपि ४.३१     शालपर्णी गुरुश्छर्दिज्वरश्वासातिसारजित् ४.३२     शोषदोषत्रयहरी बृंहण्युक्ता रसायनी     तिक्ता विषहरी स्वादुः क्षतकासकृमिप्रणुत् ४.३३     पृश्निपर्णी पृथक्पर्णी चित्रपर्ण्यहिपर्ण्यपि     क्रोष्टुविन्ना सिंहपुच्छी कलशी धावनिर्गुहा ४.३४	त्रयः
223	रङ्गस्य कति भेदाः भावप्रकाशे उक्ताः?	२		अग्निमन्थः श्वयथुनुद्वीर्योष्णः कफवातहृत्     पाण्डुनुत्कटुकस्तिक्तस्तुवरो मधुरोऽग्निदः ४.२४     श्योनाकः शोषणश्च स्यान्नटकट्वङ्गटुण्टुकाः     मण्डूकपर्णपत्रोर्णशुकनासकुटन्नटाः ४.२५     दीर्घवृन्तोऽरलुश्चापि पृथुशिम्बः कटम्भरः     श्योनाको दीपनः पाके कटुकस्तुवरो हिमः     ग्राही तिक्तोऽनिलश्लेष्मपित्तकासप्रणाशनः ४.२६     टुण्टुकस्य फलं बालं रूक्षं वातकफापहम् ४.२७     हृद्यं कषायं मधुरं रोचनं लघु दीपनम्     गुल्मार्शःकृमिहृत् प्रौढं गुरु वातप्रकोपणम् ४.२८     श्रीफलः सर्वतोभद्रा पाटला गणिकारिका     श्योनाकः पञ्चभिश्चैतैः पञ्चमूलं महन्मतम् ४.२९     पञ्चमूलं महत् तिक्तं कषायँ कफवातनुत्     मधुरं श्वासकासघ्नमुष्णं लघ्वग्निदीपनम् ४.३०     शालपर्णी स्थिरा सौम्या त्रिपर्णी पीवरी गुहा     विदारिगन्धा दीर्घाङ्गी दीर्घपत्रांऽशुमत्यपि ४.३१     शालपर्णी गुरुश्छर्दिज्वरश्वासातिसारजित् ४.३२     शोषदोषत्रयहरी बृंहण्युक्ता रसायनी     तिक्ता विषहरी स्वादुः क्षतकासकृमिप्रणुत् ४.३३     पृश्निपर्णी पृथक्पर्णी चित्रपर्ण्यहिपर्ण्यपि     क्रोष्टुविन्ना सिंहपुच्छी कलशी धावनिर्गुहा ४.३४	षट्
224	रविप्रियः कस्य धातोः पर्यायः अस्ति? 	ताम्रस्य		राजावर्त्तो नृपावर्त्तो राजन्यावर्त्तकस्तथा     आवर्त्तमणिसंज्ञश्च ह्यावर्त्तोऽपि तथैव च ८.१४३     राजावर्त्तं कटुस्तिक्तः शिशिरः पित्तनाशनः     राजावर्त्तः प्रमेहघ्नश्छर्दिहिक्कानिवारणः ८.१४४     चुम्बकः कान्तपाषाणोऽयस्कान्तो लौहकर्षकः     चुम्बको लेखनः शीतो मेदोविषगरापहः ८.१४५     गैरिकं रक्तधातुश्च गैरेयं गिरिजं तथा     सुवर्णगैरिकं त्वन्यत्ततो रक्ततरं हि तत् ८.१४६     गैरिकद्वितयं स्निग्धं मधुरं तुवरं हिमम्     चक्षुष्यं दाहपित्तास्रकफहिक्काविषापहम् ८.१४७     खटिका कठिनी चापि लेखनी च निगद्यते     खटी दाहास्रजिच्छीता मधुरा विषशोथजित् ८.१४८     लेपादेतद्गुणा प्रोक्ता भक्षिता मृत्तिकासमा     खटी गौरखटी द्वे च गुणैस्तुल्ये प्रकीर्त्तिते ८.१४९     बालुका सिकता प्रोक्ता शर्करा रेतजाऽपि च     वालुका लेखनी शीता व्रणोरःक्षतनाशिनी ८.१५०     खर्परी तुत्थकं तुत्थादन्यत्तद्र सकं स्मृतम्     ये गुणास्तुत्थके प्रोक्तास्ते गुणा रसके स्मृता ८.१५१     काशीशं धातुकाशीशं पांशुकाशीशमित्यपि     तदेव किञ्चित्पीतं तु पुष्पकाशीशमुच्यते ८.१५२	चुम्बकः
225	केभ्यः देवतेभ्यः का धातुः उत्पद्यते सुमेलितं कुरुत -  i. शिवः 1. सुवर्णम्  ii. कार्तिकेयः 2. रजतम्  iii. वासुकिः 3. ताम्रम्  iv. अग्निदेवः 4. नागः	i-2, ii-3, iii-4, iv-1	i-2, ii-3, iii-4, iv-1 / i-2, ii-3, iii-4, iv-1 / i-1, ii-3, iii-4, iv-2 / i-3, ii-4, iii-2, iv-1	हरिद्रा कटुका तिक्ता रूक्षोष्णा कफपित्तनुत्     वर्ण्या त्वग्दोषमेहास्रशोथपाण्डुव्रणापहा २.१९७     दार्वी मेदाऽम्रगन्धा च सुरभीदारु दारु च     कर्पूरा पद्मपत्रा स्यात्सुरीमत्सुरतारका २.१९८     आम्रगंधिर्हरिद्रा या सा शीता वातला मता     पित्तहृन्मधुरा तिक्ता सर्वकण्डूविनाशिनी २.१९९     अरण्यहलदीकन्दः कुष्ठवातास्रनाशनः २.२००     दार्वी दारुहरिद्रा च पर्जन्या पर्जनीति च     कटङ्कटेरी पीता च भवेत्सैव पचम्पचा     सैव कालीयकः प्रोक्तस्तथा कालेयकोऽपि च २.२०१     पीतद्रुश्च हरिद्रुश्च पीतदारु च पीतकम्     दार्वी निशागुणा किन्तु नेत्र कर्णास्यरोगनुत् २.२०२     दार्वीक्वाथसमं क्षीरं पादं पक्त्वा यदा घनम्     तदा रसाञ्जनाख्यं तन्नेत्रयोः परमं हितम् २.२०३     रसाञ्जनं तार्क्ष्यशैलं रसगर्भश्च तार्क्ष्यजम्     रसाञ्जनं कटु श्लेष्मविषनेत्रविकारनुत् २.२०४     उष्णं रसायनं तिक्तं छेदनं व्रणदोषहृत् २.२०५     अवल्गुजो वाकुची स्यात्सोमराजी सुपर्णिका     शशिलेखा कृष्णफला सोमा पूतिफलीति च २.२०६     सोमवल्ली कालमेषी कुष्ठघ्नी च प्रकीर्त्तिता     बाकुची मधुरा तिक्ता कटुपाका रसायनी २.२०७	शिवः - सुवर्णम्, कार्तिकेयः - ताम्रम्, वासुकिः - नागः, अग्निदेवः - रजतम्
226	लौहधातोः कति दोषाः उक्ताः?	७		अग्निमन्थः श्वयथुनुद्वीर्योष्णः कफवातहृत्     पाण्डुनुत्कटुकस्तिक्तस्तुवरो मधुरोऽग्निदः ४.२४     श्योनाकः शोषणश्च स्यान्नटकट्वङ्गटुण्टुकाः     मण्डूकपर्णपत्रोर्णशुकनासकुटन्नटाः ४.२५     दीर्घवृन्तोऽरलुश्चापि पृथुशिम्बः कटम्भरः     श्योनाको दीपनः पाके कटुकस्तुवरो हिमः     ग्राही तिक्तोऽनिलश्लेष्मपित्तकासप्रणाशनः ४.२६     टुण्टुकस्य फलं बालं रूक्षं वातकफापहम् ४.२७     हृद्यं कषायं मधुरं रोचनं लघु दीपनम्     गुल्मार्शःकृमिहृत् प्रौढं गुरु वातप्रकोपणम् ४.२८     श्रीफलः सर्वतोभद्रा पाटला गणिकारिका     श्योनाकः पञ्चभिश्चैतैः पञ्चमूलं महन्मतम् ४.२९     पञ्चमूलं महत् तिक्तं कषायँ कफवातनुत्     मधुरं श्वासकासघ्नमुष्णं लघ्वग्निदीपनम् ४.३०     शालपर्णी स्थिरा सौम्या त्रिपर्णी पीवरी गुहा     विदारिगन्धा दीर्घाङ्गी दीर्घपत्रांऽशुमत्यपि ४.३१     शालपर्णी गुरुश्छर्दिज्वरश्वासातिसारजित् ४.३२     शोषदोषत्रयहरी बृंहण्युक्ता रसायनी     तिक्ता विषहरी स्वादुः क्षतकासकृमिप्रणुत् ४.३३     पृश्निपर्णी पृथक्पर्णी चित्रपर्ण्यहिपर्ण्यपि     क्रोष्टुविन्ना सिंहपुच्छी कलशी धावनिर्गुहा ४.३४	त्रयः
227	लौहसेवनसमये त्याज्यः पदार्थः कः?	सर्वे	कूष्माण्डम् / तिलतैलम् / मद्य / सर्वे	केश्यस्त्वच्यः कृमिश्वासकासशोथामपाण्डुनुत्     दन्त्यो रसायनो बल्यः कुष्ठनेत्रशिरोऽत्तिनुत् ४.२४३     शणपुष्पी स्मृता घण्टा शणपुष्पसमाकृतिः     शणपुष्पी कटुस्तिक्ता वामिनी कफपित्तजित् ४.२४४     बलभद्रा त्रायमाणा त्रायन्ती गिरिजाऽनुजा     त्रायन्ती तुवरा तिक्ता सरा पित्तकफापहा     ज्वरहृद्रो गगुल्मार्शोभ्रमशूलविषप्रणुत् ४.२४५     मूर्वा मधुरसा देवी मोरटा तेजनी स्रुवा     मधुलिका मधुश्रेणी गोकर्णी पीलुपर्ण्यपि ४.२४६     मूर्वा सरा गुरुः स्वादुस्तिक्ता पित्तास्रमेहनुत्     त्रिदोषतृष्णाहृद्रो गकण्डूकुष्ठज्वरापहाः ४.२४७     काकमाची ध्वाङ्क्षमाची काकाह्वा चैव वायसी     काकमाची त्रिदोषघ्नी स्निग्धोष्णा स्वरशुक्रदा ४.२४८     तिक्ता रसायनी शोथकुष्टार्शोज्वरमेहजित्     कटुर्नेत्रहिता हिक्काच्छर्दिहृद्रो गनाशिनी ४.२४९     काकनासा तु काकाङ्गी काकतुण्डफला च सा ४.२५०     काकनासा कषायोष्णा कटुका रसपाकयोः     कफघ्नी वामनी तिक्ता शोथार्शश्वित्रकुष्ठहृत् ४.२५१     काकजङ्घा नदीकान्ता काकतिक्ता सुलोमशा     पारावतपदी दासी काका चापि प्रकीर्त्तिता ४.२५२	मद्य
228	भावप्रकाशे कति उपधातवः उक्ताः सन्ति?	७		ध्मायमानस्य लोहस्य मलं मण्डूर मुच्यते     लोहसिंहानिका किट्टी सिंहानञ्च निगद्यते     यल्लोहं यद्गुणंप्रोक्तं तत्किट्टमपि तद्गुणम् ८.५२     सप्तोपधातवः स्वर्णमाक्षिकं तारमाक्षिकं     तुत्थं कांस्यं च रीतिश्च सिन्दूरञ्च शिलाजतु ८.५३     उपधातुषु सर्वेषु तत्तद्धातुगुणा अपि     सन्ति किन्त्वेषु ते गौणास्तत्तदंशाल्पभावतः ८.५४     स्वर्णमाक्षिकमाख्यातं तापीजं मधुमाक्षिकम् ८.५५     ताप्यं माक्षिकधातुश्च मधुधातुश्च स स्मृतः     किञ्चित्सुवर्णं साहित्यात्स्वर्णमाक्षिकमीरितम् ८.५६     उपधातुः सुवर्णस्य किञ्चित्स्वर्णगुणान्वितम्     तथा च काञ्चनाभावे दीयते स्वर्णमाक्षिकम् ८.५७     किन्तु तस्यानुकल्पत्वात्किञ्चिदूनगुणास्ततः     न केवलं स्वर्णगुणा वर्त्तन्ते स्वर्णमाक्षिके ८.५८     द्र व्यान्तरस्य संसर्गात्सन्त्यन्येऽपि गुणा यतः     सुवर्णमाक्षिकं स्वादु तिक्तं वृष्यं रसायनम् ८.५९     चक्षुष्यं बस्तिरुक्कुष्ठपाण्डुमेहविषोदरान्     अर्शः शोथं विषं कण्डूं त्रिदोषमपि नाशयेत् ८.६०	सप्त
229	वितुन्नकः, शिखिग्रीवः, मयूरकः च कस्य पर्यायाः सन्ति?	तुत्थस्य		अग्निमन्थः श्वयथुनुद्वीर्योष्णः कफवातहृत्     पाण्डुनुत्कटुकस्तिक्तस्तुवरो मधुरोऽग्निदः ४.२४     श्योनाकः शोषणश्च स्यान्नटकट्वङ्गटुण्टुकाः     मण्डूकपर्णपत्रोर्णशुकनासकुटन्नटाः ४.२५     दीर्घवृन्तोऽरलुश्चापि पृथुशिम्बः कटम्भरः     श्योनाको दीपनः पाके कटुकस्तुवरो हिमः     ग्राही तिक्तोऽनिलश्लेष्मपित्तकासप्रणाशनः ४.२६     टुण्टुकस्य फलं बालं रूक्षं वातकफापहम् ४.२७     हृद्यं कषायं मधुरं रोचनं लघु दीपनम्     गुल्मार्शःकृमिहृत् प्रौढं गुरु वातप्रकोपणम् ४.२८     श्रीफलः सर्वतोभद्रा पाटला गणिकारिका     श्योनाकः पञ्चभिश्चैतैः पञ्चमूलं महन्मतम् ४.२९     पञ्चमूलं महत् तिक्तं कषायँ कफवातनुत्     मधुरं श्वासकासघ्नमुष्णं लघ्वग्निदीपनम् ४.३०     शालपर्णी स्थिरा सौम्या त्रिपर्णी पीवरी गुहा     विदारिगन्धा दीर्घाङ्गी दीर्घपत्रांऽशुमत्यपि ४.३१     शालपर्णी गुरुश्छर्दिज्वरश्वासातिसारजित् ४.३२     शोषदोषत्रयहरी बृंहण्युक्ता रसायनी     तिक्ता विषहरी स्वादुः क्षतकासकृमिप्रणुत् ४.३३     पृश्निपर्णी पृथक्पर्णी चित्रपर्ण्यहिपर्ण्यपि     क्रोष्टुविन्ना सिंहपुच्छी कलशी धावनिर्गुहा ४.३४	श्योनाकस्य
233	सिन्दूरः अधोलिखितेषु कस्य उपधातुः अस्ति?	नागस्य	यशदस्य / नागस्य / ताम्रस्य / ताम्रस्य	खर्परी तुत्थकं तुत्थादन्यत्तद्र सकं स्मृतम्     ये गुणास्तुत्थके प्रोक्तास्ते गुणा रसके स्मृता ८.१५१     काशीशं धातुकाशीशं पांशुकाशीशमित्यपि     तदेव किञ्चित्पीतं तु पुष्पकाशीशमुच्यते ८.१५२     काशीशमम्लमुष्णं च तिक्तञ्च तुवरं तथा     वातश्लेष्महरं केश्यं नेत्रकण्डूविषप्रणुत्     मूत्रकृच्छ्राश्मरीश्वित्रनाशनं परिकीर्त्तितम् ८.१५३     सौराष्ट्री तुवरी काली मृत्तालकसुराष्ट्रजे ८.१५४     आढकी चापि सा ख्याता मृत्स्ना च सुरमृत्तिका     स्फटिकायागुणाः सर्वे सौराष्ट्र्या अपि कीर्त्तिताः ८.१५५     मृन्मृदा मृत्तिका मृत्स्ना क्षेत्रजा कृष्णमृत्तिका     कृष्णमृत् क्षतदाहास्रप्रदरश्लेष्मपित्तनुत् ८.१५६     पङ्कस्तु जलकल्कश्च चुलुकः कर्दमो मलः     चिकिलः पलितो द्रा पः पललश्च निषद्वरः     कर्दमो दाहपित्तास्रशोथघ्नः शीतलः सरः ८.१५७     कपर्दको वराटश्च कपर्दी च वराटिका     कर्णस्रावाग्निमान्द्यघ्नी पित्तास्रकफनाशिनी ८.१५८     शङ्खः समुद्र जः कम्बुः सुनादः पावनध्वनिः     शङ्खो नेत्र्! यो हिमः शीतो लघुः पित्तकफास्रजित् ८.१५९	नागस्य
234	शिलाजितोः कति भेदाः सन्ति?	४		अग्निमन्थः श्वयथुनुद्वीर्योष्णः कफवातहृत्     पाण्डुनुत्कटुकस्तिक्तस्तुवरो मधुरोऽग्निदः ४.२४     श्योनाकः शोषणश्च स्यान्नटकट्वङ्गटुण्टुकाः     मण्डूकपर्णपत्रोर्णशुकनासकुटन्नटाः ४.२५     दीर्घवृन्तोऽरलुश्चापि पृथुशिम्बः कटम्भरः     श्योनाको दीपनः पाके कटुकस्तुवरो हिमः     ग्राही तिक्तोऽनिलश्लेष्मपित्तकासप्रणाशनः ४.२६     टुण्टुकस्य फलं बालं रूक्षं वातकफापहम् ४.२७     हृद्यं कषायं मधुरं रोचनं लघु दीपनम्     गुल्मार्शःकृमिहृत् प्रौढं गुरु वातप्रकोपणम् ४.२८     श्रीफलः सर्वतोभद्रा पाटला गणिकारिका     श्योनाकः पञ्चभिश्चैतैः पञ्चमूलं महन्मतम् ४.२९     पञ्चमूलं महत् तिक्तं कषायँ कफवातनुत्     मधुरं श्वासकासघ्नमुष्णं लघ्वग्निदीपनम् ४.३०     शालपर्णी स्थिरा सौम्या त्रिपर्णी पीवरी गुहा     विदारिगन्धा दीर्घाङ्गी दीर्घपत्रांऽशुमत्यपि ४.३१     शालपर्णी गुरुश्छर्दिज्वरश्वासातिसारजित् ४.३२     शोषदोषत्रयहरी बृंहण्युक्ता रसायनी     तिक्ता विषहरी स्वादुः क्षतकासकृमिप्रणुत् ४.३३     पृश्निपर्णी पृथक्पर्णी चित्रपर्ण्यहिपर्ण्यपि     क्रोष्टुविन्ना सिंहपुच्छी कलशी धावनिर्गुहा ४.३४	चत्वारः
239	कः शिलाजितु सर्वश्रेष्ठा भवति?	लौह		आरग्बवधो राजवृक्षः शम्पाकश्चतुरङ्गुलः     आरेवतो व्याधिघातः कृतमालः सुवर्णकः २.१४८     कर्णिकारो दीर्घफलः स्वर्णाङ्गः स्वर्णभूषणः     आरग्वधोगुरुःस्वादुः शीतलः स्रंसनोत्तमः २.१४९     ज्वरहृद्रो गापित्तास्रवातोदावर्त्तशूलनुत्     तत्फलं स्रंसनं रुच्यं कुष्ठपित्तकफापहम्     ज्वरे तु सततं पथ्यं कोष्ठशुद्धिकरं परम् २.१५०     कट्वी तु कटुका तिक्ता कृष्णभेदा कटम्भरा     अशोका मत्स्यशकला चक्राङ्गी शकुलादनी     मत्स्यपित्ता काण्डरुहा रोहिणी कटुरोहिणी २.१५१     कट्वी तु कटुका पाके तिक्ता रूक्षा हिमा लघुः     भेदिनी दीपनी हृद्या कफपित्तज्वरापहा     प्रमेहश्वासकासास्रदाहकुष्ठकृमिप्रणुत् २.१५२     किराततिक्तः कैरातः कटुतिक्तः किरातकः २.१५३     काण्डतिक्तोऽनार्यतिक्तो भूनिम्बो रामसेनकः     किरातकोऽन्यो नैपालः सोऽद्धतिक्तो ज्वरान्तकः २.१५४     किरातः सारको रूक्षः शीतलस्तिक्तको लघुः     सन्निपातज्वरश्वासकफपित्तास्रदाहनुत्     कासशोथतृषाकुष्ठज्वरव्रणकृमिप्रणुत् २.१५५     उक्तं कुटजबीजं तु यवमिन्द्र यवं तथा     कलिङ्गं चापि कालिङ्गं तथा भद्र यवा अपि २.१५६	किरातः
241	कस्य वर्णस्य पारदः रसायनकर्मणि श्रेष्ठः भवति?	रक्तः		अग्निमन्थः श्वयथुनुद्वीर्योष्णः कफवातहृत्     पाण्डुनुत्कटुकस्तिक्तस्तुवरो मधुरोऽग्निदः ४.२४     श्योनाकः शोषणश्च स्यान्नटकट्वङ्गटुण्टुकाः     मण्डूकपर्णपत्रोर्णशुकनासकुटन्नटाः ४.२५     दीर्घवृन्तोऽरलुश्चापि पृथुशिम्बः कटम्भरः     श्योनाको दीपनः पाके कटुकस्तुवरो हिमः     ग्राही तिक्तोऽनिलश्लेष्मपित्तकासप्रणाशनः ४.२६     टुण्टुकस्य फलं बालं रूक्षं वातकफापहम् ४.२७     हृद्यं कषायं मधुरं रोचनं लघु दीपनम्     गुल्मार्शःकृमिहृत् प्रौढं गुरु वातप्रकोपणम् ४.२८     श्रीफलः सर्वतोभद्रा पाटला गणिकारिका     श्योनाकः पञ्चभिश्चैतैः पञ्चमूलं महन्मतम् ४.२९     पञ्चमूलं महत् तिक्तं कषायँ कफवातनुत्     मधुरं श्वासकासघ्नमुष्णं लघ्वग्निदीपनम् ४.३०     शालपर्णी स्थिरा सौम्या त्रिपर्णी पीवरी गुहा     विदारिगन्धा दीर्घाङ्गी दीर्घपत्रांऽशुमत्यपि ४.३१     शालपर्णी गुरुश्छर्दिज्वरश्वासातिसारजित् ४.३२     शोषदोषत्रयहरी बृंहण्युक्ता रसायनी     तिक्ता विषहरी स्वादुः क्षतकासकृमिप्रणुत् ४.३३     पृश्निपर्णी पृथक्पर्णी चित्रपर्ण्यहिपर्ण्यपि     क्रोष्टुविन्ना सिंहपुच्छी कलशी धावनिर्गुहा ४.३४	रक्तः
244	पारदस्य स्वाभाविकदोषाः कति?	७		पृथ्वीका कारवी पृथ्वी पृथुकृष्णोपकुञ्चिका     उपकुञ्ची च कुञ्ची च बृहज्जीरक इत्यपि २.८३     जीरकत्रितयं रूक्षं कटूष्णं दीपनं लघु     संग्राही पित्तलं मेध्यं गर्भाशयविशुद्धिकृत् २.८४     ज्वरघ्नं पाचनं वृष्यं बल्यं रुच्यं कफापहम्     चक्षुष्यं पवनाघ्मानगुल्मच्छर्द्यतिसार हृत् २.८५     धान्यकं धानकं धान्यं धाना धानेयकं तथा     कुनटी धेनुका छत्रा कुस्तुम्बुरु वितुन्नकम् २.८६     धान्यकं तुवरं स्निग्धमवृष्यं मूत्रलं लघु     तिक्तं कटूष्णवीर्यञ्च दीपनं पाचनं स्मृतम् २.८७     ज्वरघ्नं रोचकं ग्राहि स्वादुपाकि त्रिदोषनुत्     तृष्णादाहवमिश्वासकासकार्श्यकृमिप्रणुत्     आर्द्र न्तु तद्गुणं स्वादु विशेषात्पित्तनाशनम् २.८८     शतपुष्पा शताह्वा च मधुरा कारवी मिसिः     अतिलम्बी सितच्छत्रा संहितच्छत्रिकाऽपि च २.८९     छत्रा शालेयशालीनो मिश्रेया मधुरा मिसिः     शतपुष्पा लघुस्तीक्ष्णा पित्तकृद्दीपनी कटुः २.९०     उष्णा ज्वरानिलश्लेष्मव्रणशूलाक्षिरोगहृत्     मिश्रेया तद्गुणा प्रोक्ता विशेषाद्योनिशूलनुत् २.९१	अष्टौ
